Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CLDP,3342,0W1,,22,,,1,,,,,,,,,,,,,,"Bonner, Deborah","Redig, Samantha L","Williams, Denise D",,,
CLDP,4344,0W1,,6,8,1,4,1,1,1,2,,,,,,,,,,"Hunsley, Jana","Li, Yue",,,,
COMD,5340,0U1,,20,,,,,,,,,,,,,,,,,"Neale, Hannah D","Denicola-Prechtl, Kathleen M",,,,
COMD,6111,0W1,,,,,,,,,,,,,,,,,,12,"Aldridge, Michelle A",,,,,
COMD,6112,0W1,,,,,,,,,,,,,,,,,,19,"Walsh, Diane G",,,,,
COMD,6320,0U1,,13,,,2,,,,,,,,,,,,,,"Carter, Jessica A","Smith, Irma E",,,,
COMD,6330,005,,,,,,,,,,,,,,,,,,10,"Raiff, Amy M",,,,,
COMD,6330,042,,,,,,,,,,,,,,,,,,10,"Raiff, Amy M",,,,,
COMD,7303,0U1,,96,,,16,,,1,,,,,,,,,,,"Dean, Lucinda L","Kenedi, A Helen I",,,,
COMD,7345,0U1,,25,,,5,,,,,,,,,,,,,,"Cook, Lori G",,,,,
COMD,7V68,0U1,,36,,,,,,,,,,,,,,,,,"Sale, Felicity F",,,,,
COMD,7V86,0U1,,25,,,,,,,,,,,,,,,,,"Rich, Judith B",,,,,
COMD,7V86,0U2,,19,,,1,,,,,,,,,,,,,,"Gollis, Christina R",,,,,
COMD,7V89,0U1,,13,,,,,,,,,,,,,,,,,"Walsh, Diane G",,,,,
COMM,1311,0H2,5,9,2,,1,,,,,,,,,,,,,,"Tanner, Lari J",,,,,
COMM,1311,0W1,2,1,2,4,2,,2,,,,,,,,1,,,,"Nash, Michelle A",,,,,
COMM,1311,0W2,8,6,,,1,,1,,,,1,,1,,,,,,"Saenz, Michael A",,,,,
COMM,1315,0W1,4,,2,1,2,1,1,2,,,,1,4,,,,1,,"Skiles, Bradley W",,,,,
COMM,1315,0W2,8,5,,1,1,,,,,,,,,,,,,,"Cannon, Charles",,,,,
COMM,1315,0W3,,,3,3,2,,2,2,,,,,1,,,,,,"Bromberg, Mike",,,,,
COMM,3342,0S1,6,1,,2,2,1,1,,,,,,,,,,,,"King, Carie S",,,,,
