Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CS,6359,0U1,,12,,,,,,,,,,,,,,,,,"Nguyen, Tien N","Chen, Zizhao",,,,
CS,6364,0U1,,13,4,1,1,2,2,,,,,,,,,,,,"Schweitzer, Haim","Mao, Wei","Song, Zihe",,,
CS,6367,0U1,,,3,2,3,2,1,1,,,,,,,,,,,"Paulk, Mark C","Chen, Zizhao",,,,
CS,6375,MU1,,7,2,1,,,,,,,,,,,1,,,,"Nagar, Anurag",,,,,
DANC,1305,0W1,3,14,5,2,3,1,1,,1,,,,,,,,,,"Saba, Monica M",,,,,
DANC,1310,0W1,8,17,,1,1,,,1,,,,,1,,,,,,"Johnson, Melissa A",,,,,
DBUA,7415,SU1,,4,1,3,1,,,,,,,,,,,,1,,"Singh, Harpreet",,,,,
ECON,2301,5U1,,3,2,3,3,1,,,,,,,,,,,,,"Lu, Yundi",,,,,
ECON,2302,0U2,,2,3,1,,3,1,1,2,,,,,,,,,,"Yu, Yiqun",,,,,
ECON,3311,5U1,,7,3,1,,1,,,,,,,,,,,,,"Jin, Tong",,,,,
ECON,3312,0U1,5,3,,,2,,1,1,,,,,,,,,,,"Ma, Yuan","Hu, Taowen",,,,
ECON,4381,0U1,2,2,1,1,3,3,3,,,1,,,,,,,,,"Kaufman, Jonathan A",,,,,
ECS,2390,051,5,5,,1,1,1,1,2,,,1,,1,,,,,,"Glauser, Janece B",,,,,
ECS,2390,052,9,8,1,1,,,,,,,,,,,,,,,"Mckee-Williams, Candie D",,,,,
ECS,2390,091,2,7,2,1,2,,1,1,1,,,,,,,,,,"Scally, Deborah A",,,,,
ECS,2390,0S1,1,10,6,2,1,,,,,,,,,,,,,,"King, Carie S",,,,,
ECS,2390,0W1,,12,4,,2,,,1,,,,,,,,,,,"Mathur, Shivika",,,,,
ECS,2390,0W2,4,4,4,1,,2,1,,,,1,,,,,,1,,"Johnson, Janet L",,,,,
ECS,2390,0W3,6,6,,1,,1,,,3,,,,,,,,2,,"Johnson, Janet L",,,,,
ECS,2390,591,,4,8,3,,2,1,,,,,,,,,,,,"Rheams, David C",,,,,
ECSC,4078,0U1,,,,,,,,,,,,,,55,4,1,,,"Stewart, Mary Ann C",,,,,
