Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized,title
"Qin, Zhenpeng","Kang, Peiyuan",,,,,MECH,3320,002,3,8,13,6,6,9,7,4,,,,,1,,,,,,1,zxq140530,zhenpeng qin,Heat Transfer 
"Gregg, Robert D","Horn, Jonathan C",,,,,MECH,4310,001,1,12,11,14,14,5,9,4,3,1,,,1,,,,,,0,rdg130030,robert gregg,Systems and Controls 
"Hassanipour, Fatemeh","Azarnoosh, Jamasp",,,,,MECH,4380,001,6,13,12,12,7,2,4,1,,1,,,1,,,,,,0,fxh091000,fatemeh hassanipour,HVAC Systems 
"Lee, Jeong-Bong",,,,,,MECH,4370,501,9,7,8,8,10,10,6,7,3,,,,,,,,,,0,jblee,jeong bong lee,Introduction to MEMS 
"Qin, Zhenpeng",,,,,,MECH,6373,001,,5,14,2,,,,,,,,,1,,,,,,0,zxq140530,zhenpeng qin,Convective Heat Transfer 
"Chida, Anjum","Guo, Jinghui",,,,,CE,3345,003,4,4,4,2,1,,,,,,,,,,,,,,0,axc157030,anjum chida,Data Structures and Introduction to Algorithmic Analysis 
"Chida, Anjum","Guo, Jinghui",,,,,CS,3345,003,9,16,14,6,5,1,2,,,,,,,,,,,,2,axc157030,anjum chida,Data Structures and Introduction to Algorithmic Analysis 
"Cankaya, Ebru C","Herrera, Nicolas S","Shams, Shahab",,,,CS,4398,001,1,7,6,4,7,,1,2,,,,,,,,,,,1,exc067000,ebru cankaya,Digital Forensics 
"McMahan, Timothy","Salazar, Elmer E",,,,,CS,6314,501,,35,12,1,,,,,,,,,,,,,,,0,txm173230,timothy mcmahan,Web Programming Languages 
"Ates, Keven L",,,,,,CS,6315,501,,33,,,7,,,,,,,,,,,,,,0,atescomp,keven ates,Semantic Web 
"Sudborough, Ivan H",,,,,,CS,4384,HON,3,2,4,1,4,3,2,2,2,,,,1,,,,,,0,hal,hal sudborough,Automata Theory 
"Tan, Chin-Tuan","Afran, Md Shah","Marzban, Mohamed F",,,,ENGR,2300,501,1,1,6,5,5,,4,4,,1,,2,6,,,,,,4,cxt163030,chin tuan tan,Linear Algebra for Engineers 
"Florence, James M","Bo, Yu",,,,,ENGR,3300,002,,5,3,2,9,4,,8,2,,4,,5,,,,,,2,jmf130530,james florence,Advanced Engineering Mathematics 
"Ruths, Justin","Bing, Mallory A",,,,,MECH,6317,001,,4,,2,1,,,,,,,,,,,,,,0,jxr163730,justin ruths,Dynamics of Complex Networks and Systems 
"Polk, Todd W","Pacheco, Joe",,,,,BMEN,4389,003,,4,3,1,1,1,,,,,,,,,,,,,0,twp017000,todd polk,Senior Design Project II 
"Scally, Deborah A",,,,,,ECS,3390,5H3,1,8,5,2,1,,,1,,,,,1,,,,,,0,das,deborah scally,Professional and Technical Communication 
"Glauser, Janece B",,,,,,ECS,3390,0H5,,12,2,3,,,,,1,,,,1,,,,,,0,jbg130030,janece glauser,Professional and Technical Communication 
"Glauser, Janece B",,,,,,ECS,3390,0H6,,12,4,2,,,,,,,,,,,,,,,1,jbg130030,janece glauser,Professional and Technical Communication 
"Goodrum, Richard A","Dhoked, Sahil",,,,,CE,4348,001,,4,,,23,,,13,,,2,,2,,,,,,0,rag150330,richard goodrum,Operating Systems Concepts 
"Doore, Karen L",,,,,,CS,1335,003,3,9,4,2,6,4,3,5,,,2,,1,,,,,,0,kld054000,karen doore,Computer Science I for Non-majors 
"Shields, Charles O",,,,,,CS,1336,501,3,9,4,8,6,4,9,7,8,3,5,1,6,,,,,,1,cshields,charles shields,Programming Fundamentals 
"Smith, Jason W",,,,,,CS,2336,003,13,13,8,4,1,,2,2,2,,2,,7,,,,,,11,jws130830,jason smith,Computer Science II 
"Smith, Jason W",,,,,,CE,2336,003,3,,1,1,,,,,,,,,,,,,,,5,jws130830,jason smith,Computer Science II 
"Willson, James K",,,,,,CS,3305,502,5,17,6,1,14,9,4,5,1,2,2,2,5,,,,,,0,jkw053000,james willson,Discrete Mathematics for Computing II 
"Min, Richard K","Bahirat, Kanchan A",,,,,CS,3377,0W2,4,3,4,2,2,3,7,8,,,,1,4,,,,,,4,rkm010300,richard min,C C  Programming in a UNIX Environment 
"McMahan, Timothy","Ochei, Dennis","Shams, Shahab",,,,CS,4337,501,17,14,10,6,5,3,2,3,2,,1,,1,,,,,,0,txm173230,timothy mcmahan,Organization of Programming Languages 
"McMahan, Timothy","Ochei, Dennis","Shams, Shahab",,,,CE,4337,501,2,3,1,3,,,,1,,,1,,,,,,,,0,txm173230,timothy mcmahan,Organization of Programming Languages 
"Sirsi, Shashank R","Bellary, Aditi",,,,,BMEN,3330,002,2,8,10,6,7,6,3,,,1,,,,,,,,,4,srs151630,shashank sirsi,Engineering Physiology of the Human Body 
"Goodrum, Richard A","Belavadi, Vibha Chandramouli",,,,,CS,4341,003,,9,,,46,,,3,,,1,,3,,,,,,3,rag150330,richard goodrum,Digital Logic and Computer Design 
"Semper, William J","Tao, Hemeng",,,,,CS,6313,501,,36,3,27,5,,,2,,,,,,,,,,,1,wjs130130,william semper,Statistical Methods for Data Science 
"Foland, Steven J","Mahar, Colin",,,,,BMEN,3350,002,3,3,8,4,5,4,6,1,,,3,,1,,,,,,0,sjf041000,steven foland,Biomedical Component and System Design 
"Winter, Patrick M","Honari, Arvin",,,,,BMEN,3150,106,2,3,3,2,1,3,,,,,,,,,,,,,0,pxw151030,patrick winter,Biomedical Engineering Laboratory 
"Zhang, Lingming","Ghanbari, Ali",,,,,CS,6367,001,,13,4,3,,,,,,,,,,,,,,,0,lxz144130,lingming zhang,Software Testing  Validation and Verification 
"Zhang, Lingming","Ghanbari, Ali",,,,,SE,6367,001,,3,3,1,,,,,,,,,,,,,,,1,lxz144130,lingming zhang,Software Testing  Validation and Verification 
"Yuruk, Nurcan","Dakle, Parag Pravin",,,,,CS,6314,001,,28,6,9,1,,,,,,,,,,,,,,0,nxy140530,nurcan yuruk,Web Programming Languages 
"Yuruk, Nurcan","Dakle, Parag Pravin",,,,,CS,6314,002,,34,11,5,,,,1,,,,,,,,,,,0,nxy140530,nurcan yuruk,Web Programming Languages 
"Nagar, Anurag","Li, Yifan",,,,,CS,6350,002,,25,30,12,1,,,,,,,,,,,,,,0,axn112530,anurag nagar,Big Data Management and Analytics 
"Tadesse, Yonas T","Almubarak, Yara",,,,,MECH,3305,501,9,10,6,7,5,2,,,1,,,,,,,,,,0,ytt110030,yonas tadesse,Computer Aided Design 
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3105,103,7,7,5,3,8,5,2,,2,,,2,4,,,,,,1,oxr106020,oziel rios,Computer Aided Design Laboratory 
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,HON,7,8,,1,,,,,,,,,,,,,,,0,ewb160130,eric becker,Digital Systems Laboratory 
"Fahimi, Babak",,,,,,EEPE,6357,001,,14,,3,,,,,,,,,,,,,,,0,bxf102000,babak fahimi,Control  Modeling and Simulation in Power Electronics 
"Bennett, Terrell R",,,,,,ECSC,2100,001,,21,1,1,7,1,,,1,,,,,,,,,,3,trb052000,terrell bennett,Engineering Project in Community Service 
"Gupta, Neeraj K","Malik, Hemant",,,,,CS,4386,001,1,10,1,3,3,1,2,1,1,,,,2,,,,,,0,nkg140130,neeraj gupta,Compiler Design 
"Vogel, Don G",,,,,,CS,1136,103,7,5,1,5,2,5,1,1,,,1,,5,,,,,,3,dgv130030,don vogel,Computer Science Laboratory 
"Choi, Wonjae","Balachandran, Balasubramaniam",,,,,MECH,3115,104,15,3,,,,,,,,,,,,,,,,,0,wxc111930,wonjae choi,Fluid Mechanics Laboratory 
"Iungo, Giacomo Valerio","Debnath, Mithu",,,,,MECH,4330,501,10,4,3,4,6,4,9,4,8,2,1,,1,,,,,,1,ixg140830,giacomo iungo,Intermediate Fluid Mechanics 
"Kantarcioglu, Murat","Abay, Nazmiye C",,,,,CS,6348,001,,14,10,1,3,,,1,,,,,,,,,,,1,mxk055100,murat kantarcioglu,Data and Applications Security 
"Du, Ding Z","Tong, Guangmo",,,,,CS,6301,002,,17,,,,,,,,,,,,,,,,,0,dxd056000,ding zhu du,Special Topics in Computer Science 
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,108,8,9,3,,,,,,,,,,,,,,,,0,ewb160130,eric becker,Digital Systems Laboratory 
"Carrion Schaefer, Benjamin",,,,,,EEDG,6304,001,,,3,1,2,1,,,,,,,,,,,,,0,bxc162630,benjamin carrion schaefer,Computer Architecture 
"Cole, John",,,,,,CS,1337,009,,15,,2,12,2,1,2,,,1,,3,,,,,,1,jxc064000,john cole,Computer Science I 
"Heins, Matthew S","Helal, Noha",,,,,ENGR,2300,005,1,12,5,7,5,1,4,3,4,,,,1,,,,,,1,msh130130,matthew heins,Linear Algebra for Engineers 
"Haas, Zygmunt J",,,,,,CS,4390,001,2,4,9,5,4,4,3,4,1,2,,,,,,,,,0,zjh130030,zygmunt haas,Computer Networks 
"Li, Yaoyu","Kaveh, Orod",,,,,MECH,4310,002,,10,11,13,13,7,9,3,5,,2,,2,,,,,,0,yxl115230,yaoyu li,Systems and Controls 
"Cole, John","Skorupa Parolin, Erick",,,,,CS,6326,001,,28,,,12,,,,,,,,,,,,,,0,jxc064000,john cole,Human Computer Interactions 
"Prabhakaran, Balakrishnan","Desai, Kevin P",,,,,CS,6327,001,,14,9,7,3,1,2,,,,,,2,,,,,,0,praba,balakrishnan prabhakaran,Video Analytics 
"VanDenberghe, William","Laturia, Akash A",,,,,MSEN,6324,001,,3,4,5,4,3,1,2,,,,,1,,,,,,1,wxv101020,william vandenberghe,Electronic  Optical and Magnetic Materials 
"Coleman, Amanda R",,,,,,ECS,3390,5H4,,9,3,2,3,,1,,,,,,,,,,,,1,axc173630,,Professional and Technical Communication 
"Libby, Lee L",,,,,,ECS,3390,5H2,,7,2,3,7,,,,,,,,,,,,,,0,llibby,lee libby,Professional and Technical Communication 
"Thamban, P.L.Stephan","Garimella, Martand Mayukh",,,,,MECH,2330,002,1,5,1,4,5,3,4,3,4,1,2,2,,,,,,,1,stephan,p l stephan thamban,Dynamics 
"Hassanipour, Fatemeh","Wang, Xiaomeng",,,,,MECH,3120,102,2,8,4,3,,,,,,,,,,,,,,,1,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
"Wilt, James C",,,,,,ECS,3361,004,,6,4,4,9,1,3,1,,,,,1,,,,,,0,jcw140130,james wilt,Social Issues and Ethics in Computer Science and Engineering 
"Choi, Wonjae",,,,,,MECH,7393,501,,10,10,4,4,1,,,,,,,,,,,,,0,wxc111930,wonjae choi,Advanced Mathematics for Mechanical Engineers II 
"Park, Wooram","Sunny, Sumair F",,,,,MECH,3350,501,1,8,7,6,10,9,,3,2,,,,2,,,,,,0,wxp103020,wooram park,Kinematics and Dynamics of Mechanical Systems 
"Li, Yaoyu","Xiao, Yan",,,,,MECH,4110,104,,13,3,4,2,,,,,,,,,,,,,,0,yxl115230,yaoyu li,Systems and Controls Laboratory 
"Webb, Jennifer H","Wei, Haoran",,,,,EE,3102,106,10,2,5,,1,,,,,,,,,,,,,,0,jhw170130,jennifer webb,Signals and Systems Laboratory 
"Khoobroo, Amir",,,,,,EE,3120,107,4,1,7,1,,1,,,,,,,1,,,,,,0,axk144831,amir khoobroo,Digital Circuits Laboratory 
"Akin, Bilal","Baruti, Kudra H",,,,,ENGR,2300,006,4,13,,2,5,4,,3,7,2,1,,3,,,,,,0,bxa123330,bilal akin,Linear Algebra for Engineers 
"Lee, Jung S","Baral, Ashwin Bhobani",,,,,ENGR,3300,006,,5,1,3,6,,2,18,4,,1,,1,,,,,,1,jls032000,jung lee,Advanced Engineering Mathematics 
"Myers, Kathleen","Quayum, Ayon",,,,,ENGR,3341,005,4,8,4,5,6,2,6,7,,3,1,,2,,,,,,1,kxm156530,kathleen myers,Probability Theory and Statistics 
"Nosratinia, Aria","Metwaly Saad, Hussein M",,,,,ENGR,3341,006,3,2,5,3,7,4,7,4,2,,4,,3,,,,,,1,aria,aria nosratinia,Probability Theory and Statistics 
"Myers, Kathleen","Quayum, Ayon",,,,,ENGR,3341,007,5,7,6,3,6,6,4,1,1,2,,1,1,,,,,,1,kxm156530,kathleen myers,Probability Theory and Statistics 
"Cogan, Diana L","Bangar, Esha","Helal, Noha","Qaradaghi, Vahid",,,CE,1202,004,5,3,2,3,3,1,3,5,,,1,1,2,,,,,,4,dcc095020,diana cogan,Introduction to Electrical Engineering II 
"Swartz, William P","Wang, Xianan","Birjandtalab Golkhatm, Javad",,,,EEDG,6302,303,,11,2,1,1,,,,,,,,,,,,,,0,wps100020,william swartz,Microprocessor Systems 
"Ma, Dongsheng","Chen, Lei",,,,,EECT,6379,001,,4,3,4,3,1,,,,,,,,,,,,,1,dxm101000,dongsheng ma,Energy Harvesting  Storage and Powering for Microsystems 
"Tamil, Lakshman",,,,,,EESC,6395,001,,40,12,,,,,,,,,,,,,,,,0,laxman,lakshman tamil,Wireless Sensor Systems and Networks 
"Veerasamy, Jeyakesavan",,,,,,CS,1335,004,6,5,1,6,4,4,9,5,6,1,4,1,5,,,,,,3,veerasam,jeyakesavan veerasamy,Computer Science I for Non-majors 
"Shields, Charles O",,,,,,CS,1325,003,1,3,4,5,7,6,14,8,10,3,2,1,6,,,,,,4,cshields,charles shields,Introduction to Programming 
"Brandenburg, Jonathan C",,,,,,CS,1337,010,1,3,8,11,7,11,3,1,3,,3,,,,,,,,1,jcb011200,jonathan brandenburg,Computer Science I 
"Ntafos, Simeon",,,,,,CS,2305,003,,1,,1,2,3,3,4,2,2,3,,3,,,,,,2,ntafos,simeon ntafos,Discrete Mathematics for Computing I 
"Nouroz Borazjany, Mehra",,,,,,CS,2336,004,16,10,7,2,5,8,2,6,4,1,1,,5,,,,,,2,mxn143230,mehra borazjany,Computer Science II 
"Pervin, William J",,,,,,CS,3305,004,4,2,1,7,6,2,1,5,4,3,2,,5,,,,,,6,pervin,william pervin,Discrete Mathematics for Computing II 
"Page, Ivor","Xu, Rupei",,,,,CS,3345,005,2,2,3,,4,5,4,1,3,2,1,,4,,,,,,2,ivor,ivor page,Data Structures and Introduction to Algorithmic Analysis 
"Feng, Ranran",,,,,,CS,3360,002,2,2,8,2,2,2,,3,,,3,,,,,,,,2,rxf090020,ranran feng,Computer Graphics for Artists and Designers 
"Perkins, Stephen J","Patel, Vatsalkumar R",,,,,CS,3377,002,3,13,6,7,12,9,1,3,,3,,,3,,,,,,4,sxp127930,stephen perkins,C C  Programming in a UNIX Environment 
"Becker, Eric W","Fan, Zhenbao",,,,,CS,4347,003,12,12,10,13,6,4,,10,,,,,,,,,,,1,ewb160130,eric becker,Database Systems 
"Alagar, Sridhar","Nguyen Minh, Tan",,,,,CS,4348,501,6,8,6,10,7,6,4,9,4,1,1,,2,,,,,,2,sxa173731,sridhar alagar,Operating Systems Concepts 
"Chandrasekaran, Ramaswamy","De, Partha",,,,,CS,6363,001,,16,6,11,5,1,1,,,,,,,,,,,,1,chandra,ramaswamy chandrasekaran,Design and Analysis of Computer Algorithms 
"Mazidi, Karen J",,,,,,CS,3340,503,3,6,11,9,7,7,4,2,2,2,1,3,3,,,,,,2,kjm160430,karen mazidi,Computer Architecture 
"Mazidi, Karen J",,,,,,CS,3340,003,2,12,11,12,5,6,3,2,4,2,,1,2,,,,,,1,kjm160430,karen mazidi,Computer Architecture 
"Meyer, Clark A","Kang, Taek",,,,,BMEN,4V95,002,3,3,3,4,3,1,,2,,,,,,,,,,,0,cam140130,clark meyer,Undergraduate Topics in Biomedical Engineering 
"Pacheco, Joe","Polk, Todd W",,,,,BMEN,4389,004,1,4,1,,2,2,,,,,,,,,,,,,0,jxp142030,,Senior Design Project II 
"Pacheco, Joe","Polk, Todd W",,,,,BMEN,4389,005,1,5,2,,,2,,,,,,,,,,,,,0,jxp142030,,Senior Design Project II 
"Winter, Patrick M",,,,,,BMEN,6394,001,,17,2,,,,,,,,,,,,,,,,0,pxw151030,patrick winter,Medical Imaging Techniques and Image Processing 
"Case, Allison B","Stevenson, Hunter",,,,,BMEN,2320,002,3,3,1,1,3,1,,2,3,,,,,,,,,,0,abc130530,allison case,Statics 
"Myers, Kathleen","Li, Shichang",,,,,BMEN,3130,106,1,2,2,1,6,2,2,,,,,,,,,,,,1,kxm156530,kathleen myers,Engineering Physiology Laboratory 
"Ali, Tariq M",,,,,,BMEN,3150,107,1,2,4,2,2,3,,,,,,,,,,,,,0,tma051000,tariq ali,Biomedical Engineering Laboratory 
"Ali, Tariq M","Abraham, Alejandro",,,,,BMEN,3150,108,4,4,2,4,,,,,,,,,,,,,,,0,tma051000,tariq ali,Biomedical Engineering Laboratory 
"Meyer, Clark A","Hasan, Samiul",,,,,BMEN,1208,101,3,2,2,,,1,,1,,,,,,,,,,,1,cam140130,clark meyer,Introduction to Bioengineering II 
"Meyer, Clark A","Jha, Sauraj",,,,,BMEN,1208,103,3,7,2,1,,,,,,1,,,,,,,,,2,cam140130,clark meyer,Introduction to Bioengineering II 
"Meyer, Clark A","Shamsi, Zeshaan",,,,,BMEN,1208,104,4,4,1,1,,,,2,1,,,,,,,,,,2,cam140130,clark meyer,Introduction to Bioengineering II 
"Meyer, Clark A","Lee, Chong Jin N",,,,,BMEN,1208,106,1,4,2,5,1,,2,,,,,,,,,,,,0,cam140130,clark meyer,Introduction to Bioengineering II 
"Ardestani Khoubrouy, Soudeh","Qin, Zhiyang",,,,,BMEN,1208,107,2,2,3,,3,,3,,,,,1,,,,,,,2,sxa074200,soudeh khoubrouy,Introduction to Bioengineering II 
"Ardestani Khoubrouy, Soudeh","Qin, Zhiyang",,,,,BMEN,1208,109,2,5,1,,,1,,,,,,1,,,,,,,0,sxa074200,soudeh khoubrouy,Introduction to Bioengineering II 
"Hart, Robert A","Hilkert, James M",,,,,MECH,4382,001,,7,4,2,3,,1,,1,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project II 
"Hart, Robert A","Hilkert, James M","Fadda, Dani Z",,,,MECH,4382,002,,7,,5,3,1,,1,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project II 
"Hart, Robert A","Fadda, Dani Z",,,,,MECH,4382,003,,7,2,2,2,2,1,,1,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project II 
"Hart, Robert A","Hilkert, James M",,,,,MECH,4382,004,,9,1,2,3,,,1,1,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project II 
"Hart, Robert A","Park, Wooram",,,,,MECH,4382,005,,7,3,1,4,1,1,,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project II 
"Hart, Robert A",,,,,,MECH,4382,006,,6,2,3,2,1,2,1,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project II 
"Hart, Robert A",,,,,,MECH,4382,007,,8,3,2,3,,2,,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project II 
"Alagar, Sridhar","Nguyen Minh, Tan",,,,,SE,4348,501,,,3,1,3,1,,,,,,,2,,,,,,0,sxa173731,sridhar alagar,Operating Systems Concepts 
"Perkins, Stephen J","Patel, Vatsalkumar R",,,,,SE,3377,002,1,1,,1,,,1,2,1,2,,,,,,,,,1,sxp127930,stephen perkins,C C  Programming in a UNIX Environment 
"Mazidi, Karen J",,,,,,SE,3340,003,,1,4,1,2,2,,1,,,,,2,,,,,,1,kjm160430,karen mazidi,Computer Architecture 
"Mazidi, Karen J",,,,,,SE,3340,503,2,1,,3,1,,3,1,1,1,,,,,,,,,0,kjm160430,karen mazidi,Computer Architecture 
"Page, Ivor","Xu, Rupei",,,,,SE,3345,005,2,,1,,1,2,1,,1,1,1,1,1,,,,,,0,ivor,ivor page,Data Structures and Introduction to Algorithmic Analysis 
"Varner, Victor","Peak, Kara",,,,,BMEN,3399,001,5,8,5,1,7,4,3,5,,,1,,,,,,,,0,vxv162230,victor varner,Introductory Biomechanics 
"Ware, Taylor H","Hedden, Brian",,,,,BMEN,4360,002,,14,,,18,,,9,,,,,2,,,,,,2,thw090020,,Biomaterials and Medical Devices 
"Sirsi, Shashank R",,,,,,BMEN,6V87,501,,16,,,1,,,,,,,,,,,,,,0,srs151630,shashank sirsi,Special Topics in Biomedical Engineering 
"Coleman, Ann C",,,,,,EEOP,6311,001,,2,,2,3,,,,,,,,,,,,,,0,acc130630,ann coleman,Photonic Devices and Integration  (3 Semester Credit Hours)
"Chandrasekaran, Ramaswamy","De, Partha",,,,,CS,6381,001,,9,5,2,1,,,,,,,,,,,,,,0,chandra,ramaswamy chandrasekaran,Combinatorics and Graph Algorithms 
"Hart, Robert A","Wilt, James C","Fadda, Dani Z",,,,MECH,4381,001,,8,6,7,2,,,,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project I 
"Hart, Robert A","Wilt, James C","Park, Wooram",,,,MECH,4381,002,,5,5,3,2,3,,2,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project I 
"Bernal Montoya, Rodrigo A","Yi, Lu",,,,,MECH,3351,002,,14,20,17,24,,,1,,,,,,,,,,,1,rab160530,rodrigo bernal,Design of Mechanical Systems 
"Ardestani Khoubrouy, Soudeh","Hasan, Samiul",,,,,BMEN,1208,110,3,,2,1,,3,,,,,,1,,,,,,,2,sxa074200,soudeh khoubrouy,Introduction to Bioengineering II 
"Gupta, Neeraj K","Li, Changbin",,,,,CS,5343,502,,10,1,5,5,,,2,,,,,2,,,,,,1,nkg140130,neeraj gupta,
"Marcus, Andrian","Florez Fandino, Juan Manuel",,,,,CS,3354,007,2,7,9,5,6,1,2,2,2,,,,1,,,,,,1,axm141731,andrian marcus,Software Engineering 
"Marcus, Andrian","Florez Fandino, Juan Manuel",,,,,CE,3354,007,,1,3,,2,2,,1,,,1,,,,,,,,0,axm141731,andrian marcus,Software Engineering 
"Malik, Arif",,,,,,MECH,6338,001,,3,2,4,8,4,,3,,,,,,,,,,,0,axm154531,arif malik,Reliability-Based Design 
"Ouyang, Hui","Sarma, Jyotirmoy","Wang, Yang",,,,MECH,3310,002,11,5,9,7,8,7,4,1,2,,,,,,,,,1,0,hxo150330,hui ouyang,Thermodynamics 
"Rodrigues, Danieli B",,,,,,BMEN,6342,001,,15,2,,2,,,,,,,,,,,,,,0,dxb127430,danieli b c rodrigues,Biomaterials and Medical Devices 
"Lee, Jeong-Bong",,,,,,EE,4371,501,2,1,,1,2,,1,2,,,,,2,,,,,,0,jblee,jeong bong lee,Introduction to MEMS 
"Brandenburg, Jonathan C",,,,,,CS,1324,002,3,9,4,2,6,6,8,3,2,,2,,,,,,,,1,jcb011200,jonathan brandenburg,Introduction to Programming for Biomedical Engineers 
"Raghavachari, Balaji","Chen, Yuqiao",,,,,CS,4349,003,4,4,5,15,6,2,12,4,1,3,,4,5,,,,,,8,rbk,balaji raghavachari,Advanced Algorithm Design and Analysis 
"Morales, Linda","Straach, Janell",,,,,SE,6387,001,,4,2,,,,,2,,,,,,,,,,,0,lxm014000,linda morales,Advanced Software Engineering Project 
"Mazidi, Karen J","Bahojb Imani, Maryam",,,,,CS,4375,501,,5,16,13,10,15,4,3,2,,1,1,4,,,,,,1,kjm160430,karen mazidi,Introduction to Machine Learning 
"Dickson, Deborah W","Ryan, Christopher J",,,,,ECS,3390,005,1,11,4,1,1,,,,,,,,,,,,,,1,dwd150030,deborah dickson,Professional and Technical Communication 
"Morgan, Barbara",,,,,,ECS,3390,006,,1,2,3,4,3,,1,1,,,,2,,,,,,0,bem160830,barbara morgan,Professional and Technical Communication 
"Dickson, Deborah W","Ryan, Christopher J",,,,,ECS,3390,008,3,10,3,,1,1,,,,,,,1,,,,,,0,dwd150030,deborah dickson,Professional and Technical Communication 
"Mohsene, Laura L",,,,,,ECS,3390,505,,7,3,3,,,1,1,1,,1,,1,,,,,,1,olive,laura mohsene,Professional and Technical Communication 
"Malik, Arif","Yu, Haoliang",,,,,MECH,6333,501,,31,8,3,3,5,,,,,,,,,,,,,0,axm154531,arif malik,Materials Design and Manufacturing 
"Khan, Ziaullah",,,,,,CS,2336,005,9,6,3,7,10,1,2,7,1,,,,7,,,,,,2,kkhan,ziaullah khan,Computer Science II 
"Khan, Ziaullah",,,,,,CE,2336,005,,1,,2,2,4,,1,1,,,,1,,,,,,0,kkhan,ziaullah khan,Computer Science II 
"Cankaya, Ebru C","Wang, Haoliang","Shams, Shahab","Wang, Xiaoyu",,,CS,3354,004,4,24,9,1,9,2,,1,,,,,,,,,,,0,exc067000,ebru cankaya,Software Engineering 
"Anderson, William C",,,,,,MECH,7100,001,,,,,,,,,,,,,,,,,13,,0,wca140030,william anderson,Seminar in Mechanical Engineering 
"Cankaya, Ebru C","Wang, Haoliang","Shams, Shahab","Wang, Xiaoyu",,,CE,3354,004,1,5,2,5,1,,,,,,,,,,,,,,0,exc067000,ebru cankaya,Software Engineering 
"Le, Khiem V",,,,,,CS,1337,011,2,7,4,2,10,5,,1,3,1,,,6,,,,,,1,kvl140030,khiem le,Computer Science I 
"Gupta, Gopal","Shakerin, Farhad",,,,,CS,6374,001,,14,8,4,3,4,,1,,,,,1,,,,,,0,gupta,gopal gupta,Computational Logic 
"Veerasamy, Jeyakesavan",,,,,,CS,1337,006,3,1,3,1,2,,1,1,,,1,,4,,,,,,0,veerasam,jeyakesavan veerasamy,Computer Science I 
"Brandenburg, Jonathan C",,,,,,CS,3162,052,1,6,8,6,4,4,3,2,,,2,,,,,,,,1,jcb011200,jonathan brandenburg,Professional Responsibility in Computer Science and Software Engineering 
"Webb, Jennifer H","Chandra Shekar, Ram Charan M",,,,,EE,3102,107,7,1,4,,,2,,,,,,,,,,,,,0,jhw170130,jennifer webb,Signals and Systems Laboratory 
"Webb, Jennifer H","Ganguly, Anshuman",,,,,EE,3102,108,4,4,4,,,,,,,,,,,,,,,,0,jhw170130,jennifer webb,Signals and Systems Laboratory 
"Thuraisingham, Bhavani","Ghosh, Smita",,,,,CS,6301,005,,31,,,,,,,,,,,,,,,,,0,bxt043000,bhavani thuraisingham,
"Pitz, Jeanne","Luo, Ziyang",,,,,EE,3111,103,1,3,5,1,,,,,,,,,,,,,,,0,jxp133430,jeanne pitz,Electronic Circuits Laboratory 
"Pitz, Jeanne","Luo, Ziyang","Chen, Chen",,,,EE,3111,104,4,4,3,,,,,,,,,,,,,,,,0,jxp133430,jeanne pitz,Electronic Circuits Laboratory 
"Pitz, Jeanne","Luo, Ziyang",,,,,CE,3111,103,1,3,4,3,1,,,,,,,,,,,,,,0,jxp133430,jeanne pitz,Electronic Circuits Laboratory 
"Pitz, Jeanne","Luo, Ziyang","Chen, Chen",,,,CE,3111,104,5,4,2,,,,,,,,,,,,,,,,0,jxp133430,jeanne pitz,Electronic Circuits Laboratory 
"Choi, Wonjae","Balachandran, Balasubramaniam",,,,,MECH,3115,105,16,3,,,,,,,,,,,,,,,,,0,wxc111930,wonjae choi,Fluid Mechanics Laboratory 
"Semper, William J","Shanbhag, Mahesh R",,,,,CS,6375,501,,32,6,13,6,2,,,,,,,,,,,,,0,wjs130130,william semper,Machine Learning 
"Namgoong, Won",,,,,,CE,3101,106,,7,,,,,,,2,,,,,,,,,,1,wxn062000,won namgoong,Electrical Network Analysis Laboratory 
"Namgoong, Won",,,,,,EE,3101,106,,5,1,,,2,1,,,,,,1,,,,,,0,wxn062000,won namgoong,Electrical Network Analysis Laboratory 
"Lee, Jung S","Wang, Zhengyang",,,,,ENGR,3300,009,1,7,1,3,15,3,1,10,2,,4,,,,,,,,0,jls032000,jung lee,Advanced Engineering Mathematics 
"Bennett, Terrell R",,,,,,ECSC,2100,501,,23,,,6,1,,,,,,,,,,,,,1,trb052000,terrell bennett,Engineering Project in Community Service 
