Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
SYSM,6301,SS1,,10,2,,,,,,,,,,,0,,,,,"Minden, Alixandre R",,,,,,arm130430,alixandre minden,
ATCM,6388,001,,10,2,,,,,,,,,,,0,,,,,"Knight, Kim A",,,,,,kak102020,kim knight,Critical Making 
ACCT,6320,0W1,,4,3,1,3,1,,,,,,,,0,,,,,"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,,huseyin,huseyin cavusoglu,Database Foundations 
AUD,6318,001,,8,4,,,,,,,,,,,0,,,,,"Warner-Czyz, Andrea D",,,,,,adw052000,andrea warner czyz,Pediatric Audiology 
MSEN,6324,001,,3,,3,4,1,,1,,,,,,0,,,,,"Quevedo-Lopez, Manuel",,,,,,mxq071000,manuel quevedo lopez,Electronic  Optical and Magnetic Materials 
EE,3110,101,,7,1,2,1,,,1,,,,,,0,,,,,"Lee, Gil S","Choi, Ye I",,,,,gslee,gill lee,Electronic Devices Laboratory 
SMED,5304,501,,9,3,,,,,,,,,,,0,,,,,"Urquhart, Mary L","Taylor, Stephanie M","Stuart, Georgia K",,,,mlk023000,mary urquhart,Research Methods in Science and Mathematics 
ECON,3311,002,,4,,,,3,,3,,1,1,,,0,,,,,"Dumas, Lloyd","Cooper, Glen",,,,,ljdumas,lloyd dumas,Intermediate Macroeconomic Theory 
BMEN,1208,105,8,1,,,,,1,,1,,,1,,0,,,,,"Ardestani Khoubrouy, Soudeh","Ravichandran, Arul Vigneswar",,,,,sxa074200,soudeh khoubrouy,Introduction to Bioengineering II 
MECH,4382,010,,1,4,2,2,,1,2,,,,,,0,,,,,"Hart, Robert A","Gravell, Jamie D","Upasham, Sayali S",,,,rxh124630,robert hart,Senior Design Project II 
CRIM,6315,001,,7,3,2,,,,,,,,,,0,,,,,"Jacobs, Bruce A",,,,,,baj034000,bruce jacobs,Violent Crime 
FIN,6360,501,,4,3,,2,3,,,,,,,,0,,,,,"Kaur, Dupinderjeet",,,,,,dxk110730,dupinderjeet kaur,Derivatives Markets 
OPRE,6304,001,,4,7,,1,,,,,,,,,0,,,,,"Simsek, Ahmet S",,,,,,axs158032,ahmet simsek,Operations Analytics 
IMS,6371,PW1,,11,,,1,,,,,,,,,0,,,,,"Szot, James",,,,,,,james szot,
CHEM,1111,108,7,4,1,,,,,,,,,,,0,,,,,"Hashami, Zohreh","Pope, Mitchell A",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory I 
ED,4372,5H2,2,1,6,2,,,,,,,,,1,0,,,,,"Christensen, Rhonda",,,,,,rxc180023,rhonda christensen,Educational Technology 
EEDG,6301,001,,1,5,1,3,2,,,,,,,,0,,,,,"Gulur, Nagendra","Si, Qilin",,,,,nxg190008,,Advanced Digital Logic 
REAL,6323,501,,2,1,3,4,1,,,,,,,1,0,,,,,"Crumpecker, Brad",,,,,,bxc122130,,Real Estate Market Analysis and Investment 
BMEN,3150,107,3,,1,4,,1,1,1,1,,,,,0,,,,,"Pacheco, Joe","Sanchez, Camilo A","Raut, Saurabh Vikas",,,,jxp142030,,Biomedical Engineering Laboratory 
FIN,4334,001,4,1,,,1,1,,,,1,1,,3,0,,,,,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan,Insurance Law and Contracts 
CE,3111,104,2,6,2,1,,,,1,,,,,,0,,,,,"Lee, Hoi","Chen, Chen",,,,,hxl054000,hoi lee,Electronic Circuits Laboratory 
EEPE,7V91,001,,9,2,1,,,,,,,,,,0,,,,,"Akin, Bilal","Pu, Shi",,,,,bxa123330,bilal akin,Special Topics in Power Electronics 
MUSI,3122,001,2,10,,,,,,,,,,,,0,,,,,"Salisbury, Linda J",,,,,,ljs130230,linda salisbury,Brass Ensemble I 
ECON,6306,501,,10,2,,,,,,,,,,,0,,,,,"O'Brien, Daniel M","Choi, Soohyun",,,,,obri,daniel obrien,Applied Econometrics 
MSEN,5360,001,,2,1,2,4,3,,,,,,,,0,,,,,"Walker, Amy V",,,,,,axw092000,,Materials Characterization 
AUD,7321,001,,7,4,1,,,,,,,,,,0,,,,,"Lobarinas, Edward",,,,,,exl152130,,Theories of Amplification 
ED,4345,001,6,6,,,,,,,,,,,,0,,,,,"Haun, Julia T",,,,,,jlb018300,julia haun,Social Studies Methods for Grades EC - 6 
ATCM,4397,004,5,6,,,1,,,,,,,,,0,,,,,"Fitzgerald, Harold E",,,,,,hxf170830,hal fitzgerald,Senior Seminar 
