Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CHEM,1112,1U1,7,5,2,,3,,1,1,,,,1,1,,,,,,"Qin, Yanping","Kim, Hyunseo","Fernando, Shehan H","Jayasuriya, Danidu M","Shende, Prapti M",,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,1U2,6,4,4,2,3,,1,,1,1,,,1,,,,,,"Qin, Yanping","Shende, Prapti M","Jayasuriya, Danidu M",,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1311,0U1,6,4,4,10,4,4,1,,3,,,1,1,,,,1,,"Huang, Yu","Vu, Mai P","Aranda, Aidely",,,,yxh091220,yu huang,General Chemistry I 
CHEM,1312,0U1,5,13,3,13,9,8,11,12,18,1,6,5,9,,,,1,,"Hashami, Zohreh","Shohag, S M Anyet Ullah","Tran, Ly T",,,,zxh088000,zohreh hashami,General Chemistry II 
CHEM,2233,3U1,10,4,,,,,,,,,,,,,,,,,"Cortes, Sergio","Gaspar, Miguel A","Cu Castillo, Cristina","Qasimi, Esmail","Paul, Saptarshi",,scortes,sergio cortes,Introductory Organic Chemistry Laboratory 
CHEM,2233,3U2,7,6,5,1,,,,,1,,,,,,,,,,"Tran, Daniel N","Koti, Neelima","Antany, Damary S","Benitez, Francisco","Wang, Ziqi",,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory 
CHEM,2323,0U1,15,13,5,3,8,7,8,8,5,5,3,,17,,2,,,,"Dissanayake, Dushanthi S","Mahulkar, Pranav S","Deo, Nitish Kumar","Liyana Withanage, Nadeesha Tharangani",,,dxd122030,dushanthi dissanayake,Introductory Organic Chemistry I 
CHEM,2325,0U1,2,11,3,6,7,9,4,8,5,3,5,,16,,,,3,,"Tran, Daniel N","Chakrabarty, Sumon","Neal, Henry","Pradhan, Subham",,,dnt019000,daniel tran,Introductory Organic Chemistry II 
CHEM,8V91,024,,,,,,,,,,,,,,,,,,13,"Stefan, Mihaela C",,,,,,mci071000,mihaela stefan,
CHEM,8V91,046,,,,,,,,,,,,,,,,,,13,"Fasan, Rudi",,,,,,,rudi fasan,
CLDP,3310,0W1,,7,,,2,,,,,,1,,,,,,,,"Timmons, Lisa N","Kim, Taesun",,,,,lnk081000,lisa timmons,Child Development 
CLDP,3342,0W1,,11,,,1,,,,,,,,,,,,,,"Bonner, Deborah","Liu, Yilin",,,,,dbonner,deborah bonner,Exceptional Children 
COMD,5340,0H1,,21,,,1,,,,,,,,,,,,,,"Neale, Hannah D","Sun, Minsi",,,,,hxp121030,hannah pourchot neale,Articulation Disorders 
COMD,6101,0W1,,,,,,,,,,,,,,,,,,11,"Aldridge, Michelle A",,,,,,aldridge,michelle aldridge,Childhood Apraxia of Speech 
COMD,6106,0W1,,,,,,,,,,,,,,,,,,17,"Sale, Felicity F",,,,,,ffs013000,,Medical SLP 
COMD,6110,0W1,,,,,,,,,,,,,,,,,,12,"Kenedi, A Helen I",,,,,,kenedi,,Pediatric Feeding 
COMD,6112,0W1,,,,,,,,,,,,,,,,,,15,"Walsh, Diane G",,,,,,dxg022000,diane walsh,Counseling in Communication Disorders 
COMD,6240,0U1,,10,,,,,,,,,,,,,,,,,"Touchstone, Emily W",,,,,,exw010200,emily touchstone,Professional Issues in Speech Language Pathology 
COMD,6320,0U1,,14,3,1,,,,,,,,,,,,,,,"Carter, Jessica A","Smith, Irma E",,,,,jar032000,,Motor Speech Disorders 
COMD,7303,0U1,,96,,,5,,,,,,,,,,,,,,"Kenedi, A Helen I","Reynolds, Jenny E",,,,,kenedi,,Dysphagia 
COMD,7323,0U1,,8,,,7,,,,,,,,,,,,,,"Sweeney, Melissa H",,,,,,msweeney,,Auditory-Verbal Methods 
