Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,6333,PPA,,26,,,29,,,11,,,,,,,,,,0,"Zolton, Kathy","Kim, Jongha",,,,,kxz121730,kathy zolton,
ACCT,6333,S01,,8,,,4,,,5,,,,,,,,,1,0,"Zolton, Kathy","Kim, Jongha",,,,,kxz121730,kathy zolton,
ACCT,6334,0W1,,12,,,15,,,2,,,,,,,,,,0,"Linsteadt, Chris C","Gotham, Albert J",,,,,ccl019000,chris linsteadt,Auditing 
ACCT,6335,0W1,,19,18,14,10,,,2,,,,,1,,,,,1,"Bortz, Tiffany A","Sam, Brittany R",,,,,tabortz,tiffany bortz,Ethics for Professional Accountants 
ACCT,6336,001,,11,5,4,3,,2,3,,,,,1,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,,jam151430,joseph mauriello,Information Technology Audit and Risk Management 
ACCT,6341,5H1,,19,6,4,5,,,2,,,,,,,,,,0,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Planning  Control and Performance Evaluation 
ACCT,6344,0W1,,34,13,8,4,1,,,,,,,1,,,,,1,"Gurun, Umit","Yayvak, Berk",,,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6345,501,,10,8,5,4,,,,,,,,1,,,,,0,"Janakiraman, Surya","Huang, Ziqi",,,,,suryaj,surya janakiraman,Business Valuation 
ACCT,6349,0W1,,8,9,,,,,,,,,,,,,,,0,"Majumdar, Sumit K","Bhattacharjee, Rajesh",,,,,skm021100,sumit majumdar,Managing Digital Strategy 
ACCT,6350,501,,13,4,5,1,,,,,,,,1,,,,,1,"Solcher, Steven J","Estevan, Ellery B",,,,,sjs107020,steven solcher,Fundamentals of Taxation I 
ACCT,6350,S01,,9,,,1,1,,,,,,,,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino,
ACCT,6353,501,,8,14,10,7,1,,,,,,,,,,,,0,"Solcher, Steven J","Estevan, Ellery B",,,,,sjs107020,steven solcher,Fundamentals of Taxation II 
ACCT,6353,PPA,,6,20,6,4,,,,,,,,,,,,,0,"Solcher, Steven J","Estevan, Ellery B",,,,,sjs107020,steven solcher,
ACCT,6354,501,,5,,2,2,1,,2,,,,,,,,,,0,"Pang, Wenjin",,,,,,wxp042000,wenjin pang,Partnership Taxation 
ACCT,6356,501,,24,4,4,5,,,1,,,,,,,,,,1,"Gamino, John P",,,,,,jpg140630,john gamino,Tax Research 
ACCT,6365,501,,7,6,11,9,7,4,2,,,,,,,,,,1,"Cheng, Samuel",,,,,,sxc109021,samuel cheng,Governmental and Not-For-Profit Accounting 
ACCT,6365,S01,,1,3,2,3,2,,2,,,,,,,,,,1,"Cheng, Samuel",,,,,,sxc109021,samuel cheng,
ACCT,6374,501,,11,11,7,1,,,,,,,,,,,,,0,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello,Advanced Data Analytics for Accountants and Auditors 
ACCT,6377,501,,25,10,4,3,1,,,,,,,,,,,,0,"Ballew, Gregory E",,,,,,geb011100,gregory ballew,Corporate Governance 
ACCT,6380,501,,6,3,1,1,,,,,,,,,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,,jam151430,joseph mauriello,Internal Audit 
ACCT,6383,501,,16,,8,21,,1,1,,,,,,,,,,0,"Bracy, Dana",,,,,,dxb016100,dana bracy,Fraud Examination 
ACCT,6386,001,,12,12,6,2,1,,1,,,,,,,,,,1,"Mauriello, Joseph A","Deokar, Shraddha V",,,,,jam151430,joseph mauriello,Governance  Risk Management and Compliance 
ACCT,6392,501,,19,9,1,1,,,,,,,,,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,,jam151430,joseph mauriello,Advanced Auditing 
