Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ECS,3390,0W2,2,6,2,1,1,3,2,1,,,,,,,,,,1,"Schlobohm, Maribeth L",,,,,,mls077000,maribeth (betsy) schlobohm,Professional and Technical Communication 
ECS,3390,0W3,,8,2,,5,,,,1,1,1,,,,,,,0,"Schlobohm, Maribeth L",,,,,,mls077000,maribeth (betsy) schlobohm,Professional and Technical Communication 
ECS,3390,0W4,9,8,18,6,10,7,6,4,,3,1,,7,,,,,1,"King, Carie S",,,,,,cxl085200,carie king,Professional and Technical Communication 
ECS,3390,0W6,,8,17,13,10,7,5,5,1,2,4,1,5,,,,,1,"Ryan, Christopher J",,,,,,cxr088000,christopher ryan,Professional and Technical Communication 
ECS,3390,0W7,,38,25,4,5,2,,,1,1,1,,2,,,,,1,"Ryan, Christopher J",,,,,,cxr088000,christopher ryan,Professional and Technical Communication 
ECS,3390,0W8,,40,2,3,13,2,,4,1,,2,,6,,,,,6,"Scally, Deborah A","Esmail, Fatima N",,,,,das,deborah scally,Professional and Technical Communication 
ECS,3390,501,,11,1,6,,1,,,,,,,,,,,,0,"Coppersmith, Syd",,,,,,sxc123831,syd coppersmith,Professional and Technical Communication 
ECS,3390,502,,15,,,1,,,1,,,,,1,,,,,0,"Scally, Deborah A",,,,,,das,deborah scally,Professional and Technical Communication 
ECS,3390,503,,17,,,,,,2,,,,,,,,,,0,"Scally, Deborah A",,,,,,das,deborah scally,Professional and Technical Communication 
ECS,3390,504,,11,4,,1,1,,,,,,,1,,,,,1,"Coppersmith, Syd",,,,,,sxc123831,syd coppersmith,Professional and Technical Communication 
ECS,3390,505,,13,2,3,1,,,,,,,,,,,,,0,"Scally, Deborah A",,,,,,das,deborah scally,Professional and Technical Communication 
ECS,3390,HN1,12,6,,1,,,,,,,,,,,,,,0,"Johnson, Janet L",,,,,,jlj065000,janet johnson,Professional and Technical Communication 
ED,3314,001,2,1,12,4,2,3,,,,,,,,,,,,1,"Gladden, Terri S",,,,,,tsg200001,terri gladden,The American Public School 
ED,3314,501,3,10,4,2,4,2,3,,,,,,,,,,2,0,"Gladden, Terri S",,,,,,tsg200001,terri gladden,The American Public School 
ED,3315,0W1,1,19,2,2,2,,,,,,,1,1,,,,,0,"Leek, Patricia A",,,,,,santine,patricia leek,Children s Literature 
ED,3315,0W2,,16,2,2,2,2,1,3,,,,,1,,,,,1,"Leek, Patricia A",,,,,,santine,patricia leek,Children s Literature 
ED,3339,001,,12,4,1,3,4,,,1,,,,2,,,,,1,"McNeel, Michele E",,,,,,mem210009,michele mcneel,Educational Psychology for Teachers 
ED,3340,501,2,,4,2,2,,,2,,,,,,,,,,1,"Le, Brenda",,,,,,bxl075000,,Math Concepts for Teachers 
ED,3342,001,,11,,,,,,,,,,,,,,,,0,"Parker, Teresa L",,,,,,tparker,teresa parker,Classroom Management Grades EC - 6 
ED,3345,0H1,,9,2,,1,,,,,,,,,,,,,0,"McNeel, Michele E",,,,,,mem210009,michele mcneel,Art  Music  and Physical Development Grades EC - 6 
ED,3345,5H1,,10,2,,,,,,,,,,,,,,,1,"McNeel, Michele E",,,,,,mem210009,michele mcneel,Art  Music  and Physical Development Grades EC - 6 
ED,3382,501,10,,1,,1,,,,,,,,,,,,,0,"Michener, Nicole L",,,,,,nlm220000,,Curriculum and Instruction in Social Studies 
ED,4344,501,1,2,4,1,2,,,,,,,,,,,,,0,"Huisman, Ingrid",,,,,,ibh013000,ingrid huisman,Mathematics Methods for Elementary Teachers 
ED,4351,001,7,3,1,1,,,,1,,,,,,,,,,0,"Davis, Renee",,,,,,rrd160530,renee davis,ESL for K-12 Teachers 
ED,4352,501,,9,5,1,4,1,,,,1,,,1,,,,,1,"McNeel, Michele E","Leek, Patricia A",,,,,mem210009,michele mcneel,Reading I  Learning to Read 
ED,4353,501,4,8,2,,,2,,,1,,,,2,,,,,0,"Brooks, Lori L",,,,,,lxb180004,lori brooks,Reading in Secondary Content 
ED,4357,0H1,,10,3,,2,4,,,,,,,,,,,,0,"Leek, Patricia A",,,,,,santine,patricia leek,Diagnostic Reading 
ED,4358,0W1,3,4,,,6,1,,1,,,,,1,,,,,1,"Root, Alexey",,,,,,aroot,alexey root,Chess I  Using Chess in Schools 
ED,4359,0W1,,5,1,1,3,1,1,2,,2,,,4,,,,,2,"Root, Alexey",,,,,,aroot,alexey root,Chess II  Institutional and Cultural Contexts of Chess 
ED,4361,501,8,1,2,1,,,,,,,,,,,,,,0,"Friedman, Meredith K",,,,,,mxk116530,meredith friedman,Classroom Management Secondary 
ED,4363,0H1,,5,9,,1,,,,,,,,1,,,,,0,"Leek, Patricia A","McNeel, Michele E",,,,,santine,patricia leek,Reading II ELAR Methods 
ED,4372,5H2,9,3,1,,,,,,,,,,,,,,,1,"Christensen, Rhonda",,,,,,rxc180023,rhonda christensen,Educational Technology 
EE,1202,001,2,1,4,1,3,2,1,1,1,,2,1,5,,,,,0,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical and Computer Engineering II 
EE,1202,002,3,1,2,2,5,,4,1,,,2,1,3,,,,,1,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical and Computer Engineering II 
EE,1202,003,6,,4,2,1,1,2,2,1,1,,,9,,,,,1,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical and Computer Engineering II 
EE,1202,004,2,4,2,2,1,3,2,3,,1,,,2,,,,,1,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical and Computer Engineering II 
EE,2310,002,,7,10,,4,,,,,,1,,,,,,,1,"Ahmed, Shaheen","Xu, Xiangyu","Peng, Genchang","Munia, Munawara Saiyara",,,sxa176730,shaheen ahmed,Introduction to Digital Systems 
EE,2310,501,,3,5,2,6,3,2,2,,,2,,4,,,,,0,"Ahmed, Shaheen","Duraisamy Swamikannan, Lena","Zeng, Xiaoming","Peng, Genchang",,,sxa176730,shaheen ahmed,Introduction to Digital Systems 
EE,3161,052,2,13,10,7,,,2,1,,,,,,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner,Social Issues and Ethics in Engineering 
EE,3161,091,,8,12,13,7,2,1,3,,,,,1,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner,Social Issues and Ethics in Engineering 
EE,3201,001,5,18,4,1,,1,,1,2,,1,,,,,,,0,"Nikoubin, Tooraj","Sankarraman, Sri Vignesh","Parchamdar, Baharealsadat","Datta, Rajesh K","Gao, Tianning","Duraisamy Swamikannan, Lena",txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
EE,3201,002,2,21,1,2,,2,,,1,,1,,,,,,,0,"Nikoubin, Tooraj","Sankarraman, Sri Vignesh","Parchamdar, Baharealsadat","Datta, Rajesh K","Gao, Tianning","Duraisamy Swamikannan, Lena",txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
EE,3202,001,1,11,9,3,10,2,,,1,,,,2,,,,,0,"Kiasaleh, Kamran","Alam, Lamia","Apalak, Merve","Hossain, Jakir",,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
EE,3202,002,2,4,3,4,8,2,,1,1,,,,2,,,,,1,"Kiasaleh, Kamran","Apalak, Merve","Alam, Lamia","Hossain, Jakir",,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
EE,3301,001,13,3,1,,3,,,,2,,,,2,,,,1,0,"Friedman, Joseph S","Biswas, Disha",,,,,jsf160330,joseph friedman,Electrical Network Analysis 
EE,3301,002,2,4,3,1,8,4,1,4,3,,,,1,,,,1,0,"Chiu, Yun","Parvez, Mohammad Salman","Chen, Chen",,,,yxc101000,yun chiu,Electrical Network Analysis 
EE,3302,001,5,8,5,5,5,7,4,2,1,,3,,,,,,,0,"Park, Jae Mo","Arunachalam, Ayush",,,,,jxp170001,jae park,Signals and Systems 
EE,3302,501,1,,2,2,2,,2,,,,1,2,2,,,,,1,"Panahi, Issa",,,,,,imp015000,issa panahi,Signals and Systems 
EE,3310,001,1,4,,,8,,,6,6,,,,,,,,,0,"Lee, Gil S","Luo, Ziyang",,,,,gslee,gill lee,Electronic Devices 
EE,3310,002,3,18,6,2,3,,,,,,,,,,,,,0,"Frensley, William","Han, Weijie",,,,,frensley,william frensley,Electronic Devices 
EE,3311,001,1,7,,2,4,,4,2,2,,,,2,,,,,1,"Lee, Gil S","Cheng, Qi",,,,,gslee,gill lee,Electronic Circuits 
EE,3311,002,3,6,8,7,9,,,3,,,,,1,,,,,0,"Liu, Jin","Chen, Chen",,,,,jinliu,jin liu,Electronic Circuits 
EE,3311,003,3,1,3,3,8,1,,1,1,,,,,,,,,0,"Lee, Hoi","Cheng, Qi",,,,,hxl054000,hoi lee,Electronic Circuits 
EE,3320,001,1,3,1,3,1,,1,,1,,,,1,,,,,2,"Bhatia, Dinesh","Sears, Mark R",,,,,dinesh,dinesh bhatia,Digital Circuits 
EE,3320,002,3,1,9,3,2,2,1,,3,,,,2,,,,,1,"Khoobroo, Amir","Jain, Apurva",,,,,axk144831,amir khoobroo,Digital Circuits 
EE,3320,003,5,14,5,2,5,3,2,2,,1,,,2,,,,,2,"Basu, Kanad","Kundu, Shamik","Meng, Xingyu",,,,kxb190012,kanad basu,Digital Circuits 
EE,4204,001,6,32,4,1,,,,,,,,,1,,,,,0,"Young, Chadwin D","Hossain Bhuiyan, Md Emran","Abousaba, Mohammad F","Ahmed, Sabrina",,,cdy120030,chadwin young,Electrical and Computer Engineering Laboratory in Devices 
EE,4205,001,5,14,1,4,2,1,,,,,,,,,,,,0,"Akin, Bilal","Farhadi, Masoud","Sajadi, Abdolrahman","Deshmukh, Akshay Vijayrao",,,bxa123330,bilal akin,Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems 
EE,4301,001,,1,1,,10,2,1,7,2,,4,,6,,,,,2,"Florence, James M","Sonawane, Akshay Bhagwan",,,,,jmf130530,james florence,Electromagnetic Engineering I 
EE,4301,501,,1,3,,2,1,1,8,3,,3,,1,,,,,0,"Florence, James M","Sonawane, Akshay Bhagwan",,,,,jmf130530,james florence,Electromagnetic Engineering I 
EE,4304,001,1,,2,,1,2,1,1,2,,,3,3,,,,,1,"Swartz, William P","Akbarzadeh, Sara","Chowdhury, Prattay","Zeng, Xiaoming",,,wps100020,william swartz,Computer Architecture 
EE,4304,002,1,6,3,,4,1,2,,1,,,,3,,,,,0,"Swartz, William P","Akbarzadeh, Sara","Chowdhury, Prattay","Zeng, Xiaoming",,,wps100020,william swartz,Computer Architecture 
EE,4304,003,1,5,3,2,4,3,1,3,,,,,1,,,,,0,"Swartz, William P","Akbarzadeh, Sara","Chowdhury, Prattay","Zeng, Xiaoming",,,wps100020,william swartz,Computer Architecture 
EE,4310,001,,18,,2,14,,,12,1,,1,,7,,,,,1,"Melendez De La Hoz, Roxana","Palit, Prithviraj",,,,,rmm210007,rosana melendez,Systems and Controls 
EE,4310,002,,15,,1,11,,2,5,,1,3,,6,,,,,1,"Melendez De La Hoz, Roxana","Peng, Genchang",,,,,rmm210007,rosana melendez,Systems and Controls 
EE,4325,001,,6,8,4,9,7,2,4,3,,3,,,,,,,2,"Sechen, Carl","Salimath, Vibhav Kumarswami",,,,,cms057000,carl sechen,Introduction to VLSI Design 
EE,4331,001,13,10,13,8,3,5,,,,,,,1,,,,,0,"Tamil, Lakshman","Tiryaki, Erhan",,,,,laxman,lakshman tamil,Applied Machine Learning 
EE,4340,001,,1,,4,1,3,2,1,3,2,5,,3,,,,,2,"Chiu, Yun","Chitale, Akshay A",,,,,yxc101000,yun chiu,Analog Integrated Circuit Analysis and Design 
EE,4360,001,,7,9,4,8,3,1,,,,1,,3,,,,,2,"Minn, Hlaing","Fan, Zhixuan",,,,,hxm025000,hlaing minn,Digital Communications 
EE,4367,001,1,9,,5,1,,6,1,,,,,,,,,,0,"Fumagalli, Andrea",,,,,,andreaf,andrea fumagalli,Telecommunication Networks 
EE,4368,001,6,15,2,1,14,,1,1,4,,,,2,,,,,0,"Lehmann, Randall E","Ramanathan, Shunmugapriya","Medina, Oscar F",,,,rel041000,randall lehmann,RF Circuit Design Principles 
EE,4368,002,,5,,,7,,2,2,4,,1,,1,,,,,0,"Lehmann, Randall E","Medina, Oscar F",,,,,rel041000,randall lehmann,RF Circuit Design Principles 
EE,4370,001,1,2,7,7,4,4,2,,,,,,,,,,,0,"Carrion Schaefer, Benjamin","Rashid, Md Imtiaz","Wang, Yifan",,,,bxc162630,benjamin carrion schaefer,Embedded Systems 
EE,4370,002,,6,,1,5,2,,,,,,,1,,,,,0,"Swartz, William P","Raghavendra, Shruthi","Wang, Yifan",,,,wps100020,william swartz,Embedded Systems 
EE,4371,001,2,,2,3,4,2,7,,,,,,2,,,,,0,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee,Introduction to MEMS 
EE,4388,001,,24,,1,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project I 
EE,4389,001,1,10,1,1,,2,1,,,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner,Senior Design Project II 
EE,4389,003,,8,3,,3,,,,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project II 
EE,4389,004,1,10,1,,,,1,,,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner,Senior Design Project II 
EE,4389,005,2,13,3,1,3,1,,,,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner,Senior Design Project II 
EE,4V95,001,,2,5,1,2,,,,,,,,1,,,,,1,"Shamsi, Kaveh",,,,,,kxs200049,kaveh shamsi,Undergraduate Topics in Electrical Engineering 
EECT,6325,001,,6,2,2,1,,,2,,,,,1,,,,,1,"Friedman, Joseph S","Xu, Xiangyu","Nahar, Lubaba M",,,,jsf160330,joseph friedman,VLSI Design 
EECT,6326,001,,2,4,8,6,,,,,,,,1,,,,,0,"Lee, Hoi","Luo, Ziyang",,,,,hxl054000,hoi lee,Analog Integrated Circuit Design 
EECT,7325,001,,8,4,4,,,,,,,,,,,,,,0,"Sechen, Carl","Jain, Apurva",,,,,cms057000,carl sechen,Advanced VLSI Design 
EEDG,6302,001,,16,2,1,,,,,,,,,,,,,,0,"Nikoubin, Tooraj","Chowdhury, Prattay","Gao, Tianning","Si, Qilin",,,txn190011,tooraj nikoubin,Microprocessor and Embedded Systems 
EEDG,6304,001,,11,8,1,,,,,,,,,,,,,,1,"Kapoor, Bhanu",,,,,,bxk101000,bhanu kapoor,Computer Architecture 
EEDG,6309,001,,7,3,4,3,,,,,,,,,,,,,0,"Makris, Georgios","Thiagarajan, Shiva Shankar",,,,,gxm112130,yiorgos makris,Applications of Machine Learning in Semiconductor IC Manufacturing and Test 
EEDG,6370,001,,2,8,2,,,,,,,,,,,,,,0,"Bhatia, Dinesh","Sears, Mark R",,,,,dinesh,dinesh bhatia,Design and Analysis of Reconfigurable Systems 
EEMF,6321,001,,16,5,,,,,,,,,,,,,,,0,"Frensley, William","Abousaba, Mohammad F",,,,,frensley,william frensley,Active Semiconductor Devices 
EEMF,6322,001,,7,,4,,1,,,,,,,,,,,,0,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee,Semiconductor Processing Technology 
EEPE,6357,001,,5,3,,2,2,,3,,,,,,,,,,2,"Fahimi, Babak",,,,,,bxf102000,babak fahimi,Control  Modeling and Simulation in Power Electronics 
EEPE,6398,001,,5,1,,5,,,2,,,,,1,,,,,1,"Gardner, Matthew C","Afshar, Mojtaba",,,,,mcg200004,matthew gardner,General Theory of Electric Machines 
EERF,6311,501,,3,1,4,2,2,,,,,,,,,,,,0,"Henderson, Rashaunda M","Medina, Oscar F",,,,,rmh072000,rashaunda henderson,RF and Microwave Circuits 
EERF,6330,001,,1,2,3,8,,,,,,,,,,,,,0,Kenneth,"Shariff, Sarfraz H",,,,,kxo091000,kenneth,RF Integrated Circuit Design 
EERF,6355,001,,3,2,1,3,2,,,,,,,,,,,,0,"Saad, Ricardo E","Noor Shoudha, Shamman","Shariff, Sarfraz H",,,,rsaad,ricardo saad,RF and Microwave Amplifier Design 
