Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
MIS,6382,0W1,,13,19,1,7,2,,,,,,,3,,,10,3,"Mookerjee, Radha","Sonmale, Bhushan K",,,,,rvm019000,radha mookerjee,Object Oriented Programming in Python 
MIS,6384,001,,3,6,4,4,,1,1,,,,,,,,3,0,"Shroff, Tejas N","Chen, Luoying",,,,,tns190000,tejas shroff,Preparing for Cybersecurity Threats 
MIS,6392,001,,2,1,4,1,,,,,,,,,,,2,0,"Mehra, Amit","Kadam, Shraddha Hemant",,,,,axm078200,amit mehra,Causal Analytics and A B Testing 
MKT,3300,001,,7,8,9,3,1,2,,,,,,,,,,2,"Bhave, Ashutosh C",,,,,,acb140430,ashutosh bhave,Principles of Marketing 
MKT,3300,002,,11,,11,14,,6,4,1,,,,1,4,,,2,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,Principles of Marketing 
MKT,3300,004,4,27,12,2,3,1,,1,,,,,,4,1,,1,"Egeland, Rita E",,,,,,rxb154430,rita bargerhuff egeland,Principles of Marketing 
MKT,3300,005,1,14,16,10,10,2,1,,,,1,,,,,,0,"Wu, Fang","Lu, Renjie",,,,,fxw052000,fang wu,Principles of Marketing 
MKT,3300,006,4,5,6,5,2,3,1,1,,,,,,,1,,0,"Jameei Osgouei, Ata",,,,,,axj174330,ata osgouei,Principles of Marketing 
MKT,3300,007,3,16,5,4,7,3,1,3,3,,,,,9,,,1,"Haseman, Charles",,,,,,cxh180018,charles haseman,Principles of Marketing 
MKT,3300,008,4,23,7,9,7,3,,,,,,,,2,,,0,"Elmi, Omid",,,,,,oxe160230,omid elmi,Principles of Marketing 
MKT,3300,009,,15,11,6,10,2,,3,,,,,1,8,,,0,"Pacyna, Sandra",,,,,,sxp158130,sandra pacyna,Principles of Marketing 
MKT,3300,010,,10,,8,18,,5,2,,2,1,,,8,,,2,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,Principles of Marketing 
MKT,3300,011,8,27,14,3,3,,,,1,,,,,,,,0,"Gafford, Jerome M","Meehan, Madelyn",,,,,jmg171130,jerome gafford,Principles of Marketing 
MKT,3300,012,13,17,6,4,4,1,,,1,,,,,1,,,1,"Kasaian, Keyvan",,,,,,kxk153830,,Principles of Marketing 
MKT,3300,013,11,23,9,4,2,1,1,,,,,1,1,2,,,1,"Kasaian, Keyvan",,,,,,kxk153830,,Principles of Marketing 
MKT,3300,014,,4,15,10,15,3,2,2,,,,,2,3,,,0,"Qian, Kun",,,,,,kxq170030,kun qian,Principles of Marketing 
MKT,3300,015,1,10,5,13,12,5,4,1,1,,,,,3,,,0,"Wu, Fang","Lu, Renjie",,,,,fxw052000,fang wu,Principles of Marketing 
MKT,3300,0W1,,37,7,3,4,,,,,,,,,2,,,0,"Pahwa, Parneet","Cermin, Kaycey","Meehan, Madelyn",,,,pxp030100,parneet pahwa,Principles of Marketing 
MKT,3300,0W2,,17,9,11,7,1,2,,,,,1,1,5,,,1,"Wu, Fang","Lu, Renjie",,,,,fxw052000,fang wu,Principles of Marketing 
MKT,3300,0W3,,23,12,5,7,,,1,,,,,,,,,2,"Pahwa, Parneet","Cermin, Kaycey","Meehan, Madelyn",,,,pxp030100,parneet pahwa,Principles of Marketing 
MKT,3320,001,8,17,14,4,3,1,2,1,1,,,,1,5,,,1,"Haworth, Julie B","Lu, Renjie","Cermin, Kaycey",,,,haworth,julie haworth,Product and Brand Management 
MKT,3330,001,14,10,2,,2,1,,,,1,,,2,,2,,1,"Gafford, Jerome M",,,,,,jmg171130,jerome gafford,Introduction to Professional Selling 
MKT,3330,002,13,10,1,,2,,,,,1,,,2,3,1,,1,"Gafford, Jerome M",,,,,,jmg171130,jerome gafford,Introduction to Professional Selling 
MKT,3330,003,3,6,6,2,1,2,,,2,,,,8,3,1,,0,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour,Introduction to Professional Selling 
MKT,3330,004,3,8,5,2,3,1,,,2,,1,,2,1,2,,3,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour,Introduction to Professional Selling 
MKT,3330,005,19,6,4,,,,1,1,1,,1,,,,,,1,"Gafford, Jerome M",,,,,,jmg171130,jerome gafford,Introduction to Professional Selling 
MKT,3330,006,4,7,6,1,1,2,,1,,,1,1,1,4,1,,2,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour,Introduction to Professional Selling 
MKT,3340,001,,10,2,6,7,2,7,3,,1,,,1,7,1,,0,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,Marketing Research 
MKT,3340,501,,8,2,6,11,2,4,3,,2,,,1,7,1,,2,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,Marketing Research 
MKT,4320,501,,3,2,,3,,1,,1,,,,,1,,,0,"Lee, Seunghyun","Yeo, Yundong",,,,,sxl029100,,International Marketing 
MKT,4330,001,,11,5,2,13,1,1,3,2,,,,,4,,,0,"Pacyna, Sandra",,,,,,sxp158130,sandra pacyna,Digital and Internet Marketing 
MKT,4330,0W1,3,12,6,3,3,4,1,4,,,,1,,6,,,0,"Edsel, Alexander D",,,,,,ade012000,alexander edsel,Digital and Internet Marketing 
MKT,4330,0W2,3,10,7,5,7,2,,1,6,2,,,,3,1,,1,"Edsel, Alexander D",,,,,,ade012000,alexander edsel,Digital and Internet Marketing 
MKT,4331,001,2,12,4,1,8,2,1,3,1,,1,,1,4,1,,13,"Dover, Howard F",,,,,,hfd021000,howard dover,Digital Prospecting 
MKT,4332,001,5,7,1,1,3,3,1,,1,,,,,1,1,,4,"Dover, Howard F",,,,,,hfd021000,howard dover,Advanced Personal Selling 
MKT,4334,001,19,12,5,5,2,1,1,,1,,,2,,,1,,0,"Johnson, Quincy F",,,,,,qfj061000,quincy johnson,Social Media Marketing 
MKT,4336,501,1,7,2,1,4,2,1,,,,,,,,,,0,"Haseman, Charles",,,,,,cxh180018,charles haseman,E-Retailing 
MKT,4337,501,3,13,9,5,7,4,3,1,,,,,1,2,,,1,"Farquharson, Neil",,,,,,nxf051000,neil farquharson,Marketing Analytics 
MKT,4338,501,14,13,,,8,,,3,,,1,,,1,1,,0,"Dickinson, Keith",,,,,,kxd084000,keith dickinson,Marketing Content Creation 
MKT,4339,501,2,4,4,,,2,3,1,1,,,,,1,1,,2,"Farquharson, Neil",,,,,,nxf051000,neil farquharson,Marketing Creative Skills and Testing 
