Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
OPRE,3310,013,5,4,9,6,6,5,3,4,5,3,1,1,3,,,,3,,"Jayaraman, Vaidyanathan Vaidy","Nguyen, Tri M","Bambhroliya, Darshan Ghanshyambhai",,,,dal292297,vaidyanathan vaidy jayaraman,Supply Chain and Operations Management 
OPRE,3310,0W1,,19,,5,18,,7,6,,,3,,1,,1,,,,"Subramoniam, Ramesh","Gadam, Uday Sai Kiran Reddy",,,,,rxs179630,ramesh subramoniam,Supply Chain and Operations Management 
OPRE,3310,0W2,12,13,17,4,4,4,2,1,1,,,,,,,,,,"Alborz, Shawn",,,,,,sxa063000,shawn alborz,Supply Chain and Operations Management 
OPRE,3320,001,1,2,14,9,10,6,3,4,4,,1,,1,,,,,,"Fatehi, Soraya","Tran, Qui Anh",,,,,sxf200005,soraya fatehi,Integrated Supply Chain Management 
OPRE,3330,001,4,14,6,9,8,7,1,3,1,1,,1,,,,,2,,"Kennedyd, Sarmann I","Bashorun, Hamidat","Dosapati, Shanmukha Sri Vaishnavi",,,,sik220001,sarmann kennedyd,Project Management 
OPRE,3330,002,18,10,10,4,5,7,5,1,,,,,,,,,,,"Alborz, Shawn",,,,,,sxa063000,shawn alborz,Project Management 
OPRE,3330,0W1,14,6,15,7,4,4,5,2,1,1,,,1,,,,,,"Alborz, Shawn",,,,,,sxa063000,shawn alborz,Project Management 
OPRE,3330,0W2,16,7,16,8,4,6,3,1,1,,,,,,,,,,"Alborz, Shawn",,,,,,sxa063000,shawn alborz,Project Management 
OPRE,3330,0W3,9,9,9,7,6,4,2,1,,1,,,,,,,4,,"Alborz, Shawn",,,,,,sxa063000,shawn alborz,Project Management 
OPRE,3333,001,2,9,10,7,14,7,3,1,2,1,1,1,1,,,,,,"Whalen, Tristan G","Vanapalli, Venkata Bhadra Ganesh",,,,,tgw100020,tristan whalen,Quantitative Business Analysis 
OPRE,3333,002,4,13,8,12,6,3,6,5,1,,,,,,,,6,,"Whalen, Tristan G","Vanapalli, Venkata Bhadra Ganesh",,,,,tgw100020,tristan whalen,Quantitative Business Analysis 
OPRE,3333,003,11,13,3,3,4,2,6,3,7,1,,,2,,,,3,,"Farzaneh, Mohammad Amin",,,,,,mxf180000,,Quantitative Business Analysis 
OPRE,3333,004,1,18,6,5,2,7,4,3,5,2,1,,3,,,,4,,"Enayaty Ahangar, Negin","Patel, Nirmit Pradip",,,,,nxe180001,negin enayaty ahangar,Quantitative Business Analysis 
OPRE,3333,005,2,18,12,6,4,2,2,4,1,2,,,3,,,,3,,"Enayaty Ahangar, Negin","Patel, Nirmit Pradip",,,,,nxe180001,negin enayaty ahangar,Quantitative Business Analysis 
OPRE,3333,006,,13,10,6,11,7,7,,3,3,2,,,,,,1,,"Nguyen, Hien T","Gupta, Tanishqa",,,,,htn170130,hien nguyen,Quantitative Business Analysis 
