Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,4334,501,,14,,1,13,,,11,1,,2,,2,,,,,,"Linsteadt, Chris C",,,,,
ACCT,4337,501,1,2,2,3,5,3,3,3,4,1,1,,1,,,,5,,"Ballew, Gregory","Soppannavar, Gauri C",,,,
ACCT,4340,001,16,8,,4,3,4,1,3,1,3,1,,2,,,,,,"Johnson, Jennifer G","Bull, Garrett M",,,,
ACCT,4342,501,5,4,11,5,6,7,10,4,1,2,,,,,,,1,,"Johnson, Jennifer G","Bull, Garrett M",,,,
ACCT,4342,PP1,11,7,4,3,2,1,,,,,,,,,,,,,"Johnson, Jennifer G","Bull, Garrett M",,,,
ACCT,4342,PP2,13,12,9,4,1,,,,,,,,,,,,,,"Johnson, Jennifer G","Bull, Garrett M",,,,
ACCT,4V80,PPA,,,,,,,,,,,,,,61,,,,,"Bortz, Tiffany A","Mckenzie, Dylan","Muse, Abigail M",,,
ACCT,6202,501,,4,,4,3,,8,3,,,,,,,,,1,,"Dai, Zhonglan","Parupati, Sunil K",,,,
ACCT,6202,CW1,,8,3,,1,,,,,,,,,,,,,,"Sadka, Gil",,,,,
ACCT,6202,GW1,,11,2,2,4,,,1,,,,,1,,,,,,"Sadka, Gil",,,,,
ACCT,6202,MBC,,10,3,10,7,2,9,3,,,,,,,,,,,"Dai, Zhonglan","Parupati, Sunil K",,,,
ACCT,6202,MBP,,9,,,8,1,,5,,,,,,,,,,,"Dai, Zhonglan","Parupati, Sunil K",,,,
ACCT,6202,XH1,,14,2,1,2,1,,,,,,,,,,,,,"Sadka, Gil",,,,,
ACCT,6291,SS1,,38,,,19,,,1,,,,,,,,,1,,"Zolton, Kathy",,,,,
ACCT,6292,SS1,,38,,,16,,,2,,,,,1,,,,,,"Linsteadt, Chris C",,,,,
ACCT,6293,SS1,,41,,,19,,,,,,,,,,,,,,"Betanzos, Christina L","Solcher, Steven J",,,,
ACCT,6301,0W1,,6,11,10,6,7,6,,,,,,2,,,,,,"Ali, Ashiq","Liu, Ruichao",,,,
ACCT,6301,501,,22,2,11,8,3,4,4,,,,,2,,,,,,"Ballew, Gregory","Soppannavar, Gauri C",,,,
ACCT,6301,CW1,,11,1,1,1,,,,,,,,,,,,,,"Barden, John P",,,,,
ACCT,6305,001,,24,8,7,1,,,,,,,,,,,,,,"Kim, Tae Wook","Liu, Ruichao",,,,
ACCT,6305,002,,15,4,6,1,,,,,,,,,,,,,,"Kim, Tae Wook","Liu, Ruichao",,,,
ACCT,6305,501,,8,3,3,,,,,,,,,,,,,2,,"Kim, Tae Wook","Liu, Ruichao",,,,
ACCT,6309,0W1,,1,1,4,2,,1,1,,,,,,,,,,,"Islam, Naser","Tomar, Geetanjali",,,,
ACCT,6320,0W1,,3,1,4,2,2,1,,,,,,,,,,,,"Cavusoglu, Huseyin","Goswami, Garima",,,,
ACCT,6330,501,,5,,2,3,,,4,,,,,2,,,,1,,"Cready, William M","Weber, Josiah C",,,,
ACCT,6331,5W1,,8,5,4,1,1,1,,,,,,,,,,2,,"Janakiraman, Surya N","Ai, Lanru",,,,
ACCT,6332,5W1,,10,,,8,,,3,,,,,,,,,,,"Zolton, Kathy","Weber, Josiah C",,,,
ACCT,6333,501,,9,,,8,,,4,,,,,1,,,,1,,"Zolton, Kathy","Weber, Josiah C",,,,
ACCT,6335,0W1,,13,5,15,8,2,3,1,,,,,,,,,1,,"Bortz, Tiffany A","Muse, Abigail M",,,,
ACCT,6335,PP1,,8,12,3,2,2,,,,,,,,,,,,,"Bortz, Tiffany A","Muse, Abigail M",,,,
ACCT,6335,PP2,,17,,15,8,,,,,,,,,,,,,,"Bortz, Tiffany A","Muse, Abigail M",,,,
ACCT,6336,001,,14,5,4,14,2,,,,,,,,,,,,,"Mauriello, Joseph A","Tran, Bao G",,,,
ACCT,6338,0W1,,8,2,3,6,3,,3,,,,,1,,,,3,,"Goodrich, Mary Beth W","Rashmi, Richa",,,,
ACCT,6344,501,,15,7,,,,,,,,,,,,,,,,"Solcher, Steven J","Li, Catherine X",,,,
ACCT,6353,501,,8,2,3,8,3,4,7,,,,,1,,,,,,"Gamino, John P",,,,,
