Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ARHM,6310,1,,16,4,1,1,1,,,,,,,1,,,,,0,"Hill, Kimberly D","Greer, Erin E",,,,,kdh140430,kimberly hill,Team-Taught Interdisciplinary Seminar 
ARTS,1301,0W1,94,15,10,8,4,4,2,,1,,,,1,,,,,0,"Wilder, James E","Ghahari Kermani, Arash","Payne, Nicholas A",,,,jew042000,james wilder,Exploration of the Arts 
ARTS,1316,1,5,10,1,1,1,1,,,,,,,,,,,,0,"Min, Inki A",,,,,,iam140230,inki min,Drawing Foundations 
ARTS,1316,3,,9,5,1,2,1,,,,,,,1,,,,,0,"Travis, Audrey",,,,,,axt190092,,Drawing Foundations 
ARTS,1316,501,1,16,2,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,,bdf081000,brian fridge,Drawing Foundations 
ARTS,1316,2,15,1,2,,,,,,,,,,,,,,,0,"Miranda, Jeffrey R",,,,,,jxm069000,jeffrey miranda,Drawing Foundations 
ARTS,2315,1,,8,3,1,,,,,,,,1,,,,,,0,"Cochran, Kristen N",,,,,,knc103020,kristen cochran,Topics in Visual Art 
ARTS,2316,1,,3,7,1,,2,,,,,,,2,,,,,2,"Ligon, Peter A",,,,,,pal140130,peter ligon,Painting Foundations 
ARTS,2316,501,12,4,,,,1,,,,,,,,,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan,Painting Foundations 
ARTS,2348,1,5,5,7,,1,,,,,,,,1,,,,,0,"Reyes, Marcela",,,,,,mxr116430,marcela reyes,Digital Art 
ARTS,2350,1,1,2,,3,3,1,2,,,,,,2,,,,,3,"Copeland, Colette",,,,,,cxc132230,colette copeland,Photography  Design 
ARTS,2350,2,8,,1,1,2,,,,2,,,,3,,,,,1,"Lyon, Tara L",,,,,,tll190000,,Photography  Design 
ARTS,2380,1,8,3,,1,,,,,,,,,4,,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan,Visual Design Foundations 
ARTS,2380,501,,11,1,2,1,1,,,,,,,2,,,,,0,"Curry, Val",,,,,,vxc110930,val curry,Visual Design Foundations 
ARTS,2381,1,,10,5,,,,,,,,,,,,,,,0,"Cochran, Kristen N",,,,,,knc103020,kristen cochran,Introduction to Sculpture 
ARTS,3315,1,1,6,,1,2,2,,,,,,,,,,,,0,"Curry, Val",,,,,,vxc110930,val curry,The Art of Tinkering  Creating at the intersection of Art  Science and Technology 
ARTS,3340,3,4,5,,2,,,,,,,,,,,,,,1,"Randall, Steven",,,,,,svr200001,steven randall,Topics in Studio Art 
