Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACTS,6302,501,,5,1,1,1,2,,,,,,,1,1,,,0,"Makhijani, Neha",,,,,,nxm165130,neha makhijani,Theory of Actuarial Models  Financial Economics 
ACTS,6308,001,,7,1,,1,1,,1,,,,,1,2,,,0,"Makhijani, Neha",,,,,,nxm165130,neha makhijani,Actuarial Financial Mathematics 
AHST,1303,001,15,12,11,18,15,8,2,,,1,2,,3,,13,5,6,"Marcus, Diana","Mei, Kehan",,,,,dxm190048,diana marcus,Survey of Western Art History  Ancient to Medieval 
AHST,1303,002,10,11,8,5,7,5,5,3,4,2,1,1,2,,12,6,4,"Marcus, Diana","Dunbar, Amanda R",,,,,dxm190048,diana marcus,Survey of Western Art History  Ancient to Medieval 
AHST,2331,001,3,27,11,7,11,1,2,1,5,,1,1,5,,23,6,9,"Terranova, Charissa","Anderson, Linda K","Zawng, Ze","Koo, So Y",,,cxt074100,charissa terranova,Understanding Art 
AHST,3320,001,8,10,12,2,4,3,,,1,,,,,,2,3,3,"Alibhai, Ali Asgar H",,,,,,aha180002,ali alibhai,Art in Historical Context 
AHST,3324,501,4,16,4,5,3,3,1,,1,,2,1,1,,1,,0,"Waligore, Marilyn A",,,,,,waligore,marilyn waligore,History of Photography 
AMS,2300,001,7,17,10,6,4,2,2,2,,,,,,,3,3,0,"Pogue, Neall W",,,,,,nxp174730,neall pogue,American Popular Culture 
AMS,2300,002,11,13,8,5,4,2,2,,1,,2,,3,,3,1,1,"Pogue, Neall W",,,,,,nxp174730,neall pogue,American Popular Culture 
AMS,2300,HN1,,9,4,2,,,,,,,,,,,7,1,1,"Smith, Erin",,,,,,erins,erin smith,American Popular Culture 
AMS,2341,001,,4,4,3,2,2,,,,,,,,,1,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
AMS,2341,002,,9,6,5,3,,,,,,,,,,7,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
AMS,2390,001,,2,5,,1,1,,,,,,,,,,1,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,Topics in American Studies 
AMS,3302,001,,5,3,6,2,,,,,,,,,,6,,2,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak,American Cultures 
AMS,3316,0W1,19,6,3,2,1,1,,,1,,1,2,2,,2,,0,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
AMS,3322,001,,12,10,6,8,3,,,,,,,1,,2,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Ethnic Experience  Immigrants After 1945 
AMS,3350,0W1,20,5,2,2,1,1,,,,,,,3,,3,,1,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Crisis Communication 
AMS,4300,5H1,6,3,2,,2,,2,1,,,,,1,,1,,1,"Ross, Alyssa N",,,,,,anr161130,alyssa ross,Oral and Written Communication for the Classroom 
ARAB,1311,001,15,10,,,1,,,,,,,,,,2,,1,"Anjum, Zafar",,,,,,zxa110730,zafar anjum,Beginning Arabic I 
ARAB,1312,001,7,8,,,1,,,,,,,,,,1,,0,"Anjum, Zafar",,,,,,zxa110730,zafar anjum,Beginning Arabic II 
ARHM,2340,001,,8,2,1,2,,,1,,,2,,1,,1,1,4,"Grohman, Magdalena G",,,,,,mgg092000,magdalena grohman,Creativity 
ARHM,3342,002,1,12,4,2,6,,,,,,,,2,,6,,4,"Gossin, Pamela","Hairston, Marc R",,,,,psgossin,pamela gossin,Advanced Interdisciplinary Studies in the Arts and Humanities 
ARHM,3342,003,11,6,3,,4,4,,,,1,,,1,,3,,2,"Valente, Sarah d","Gonzalez Corona, Pedro Jose","Roemer, Nils H",,,,sdv071000,sarah d valente,Advanced Interdisciplinary Studies in the Arts and Humanities 
ARHM,3342,502,,12,3,4,1,1,2,,,,1,,,,4,1,0,"Evans, Kathryn C",,,,,,kcevans,kathryn evans,Advanced Interdisciplinary Studies in the Arts and Humanities 
ARTS,1301,001,28,45,3,7,6,,1,1,,,,1,2,,5,,1,"Grandjean, Kelly","Alanis Perez, Alan Isaac",,,,,kxg190019,kelly grandjean,Exploration of the Arts 
ARTS,1301,002,25,46,8,2,3,2,,2,1,,,1,,,5,5,0,"Grandjean, Kelly","Iftikhar, Shabnum",,,,,kxg190019,kelly grandjean,Exploration of the Arts 
ARTS,1316,001,3,13,1,,,,,,,,,,,,,,1,"Min, Inki A","Ahn, Jung-Mo",,,,,iam140230,inki min,Drawing Foundations 
ARTS,1316,002,,13,2,,,,,,,,,,,,3,,1,"Fridge, Brian D",,,,,,bdf081000,brian fridge,Drawing Foundations 
ARTS,1316,003,6,1,1,2,,,,,,,,,,,2,1,4,"Booker, Rebecca M",,,,,,pdb041000,,Drawing Foundations 
ARTS,1316,004,1,4,5,1,,,1,,,,,,1,,4,,1,"Carter, Rebecca S",,,,,,rsc150030,,Drawing Foundations 
ARTS,1316,005,4,3,1,,1,1,,,2,,,1,1,,3,,1,"Booker, Rebecca M",,,,,,pdb041000,,Drawing Foundations 
ARTS,1316,006,3,3,8,,1,1,,,,,,,,,,1,0,"Ishii, Sara T",,,,,,isnii,,Drawing Foundations 
ARTS,1316,501,,3,,6,5,,,,,,,,,,3,,0,"Lacy, Mary E",,,,,,mel024000,mary lacy,Drawing Foundations 
ARTS,2315,001,2,2,1,,,,,,,,3,,2,,,1,0,"Durant, Stephanie D",,,,,,ddm043000,,Topics in Visual Art 
ARTS,2316,001,,3,4,,,1,,,,,,,,,2,1,2,"Ligon, Peter A",,,,,,pal140130,peter ligon,Painting Foundations 
ARTS,2316,501,6,9,2,,,,,,,,,,,,,1,1,"Egan, Trey T",,,,,,tte150130,trey egan,Painting Foundations 
ARTS,2350,001,2,3,3,3,,,1,1,1,,,,,,2,2,1,"Copeland, Colette",,,,,,cxc132230,colette copeland,Photography  Design 
ARTS,2350,002,,1,8,3,,1,,,,,,,,,1,,2,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer,Photography  Design 
ARTS,2380,001,5,7,3,,,1,,,,,,,,,1,,1,"Egan, Trey T",,,,,,tte150130,trey egan,Visual Design Foundations 
ARTS,2381,001,2,6,3,,,,,,,,,,,,3,,1,"Travis, Audrey",,,,,,axt190092,,Introduction to Sculpture 
ARTS,3311,001,1,,3,,,,,2,,,,,1,,3,,0,"Copeland, Colette",,,,,,cxc132230,colette copeland,Contemporary Art Practices 
ARTS,3315,001,7,3,1,,,1,,,1,,,,,,1,,1,"Curry, Val",,,,,,vxc110930,val curry,The Art of Tinkering  Creating at the intersection of Art  Science and Technology 
ARTS,3340,001,1,5,6,,1,,,1,,,,,,,1,,0,"Carter, Rebecca S",,,,,,rsc150030,,Topics in Studio Art 
ARTS,3341,001,,16,,,1,,,,,,,,,,1,,0,"Shi, Carle",,,,,,cxs174230,carle shi,Chinese Calligraphy 
