Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Hanson, Jocyln Y",,,,,,COMM,1311,010,15,2,,1,,2,1,,,1,,,1,,,,,,1,jyh140230,jocyln hanson,Survey of Oral and Technology-based Communication 
"Baynham, Karen M",,,,,,COMM,1311,011,7,9,4,4,,,,,,,,,,,,,,,0,contemp,karen baynham,Survey of Oral and Technology-based Communication 
"Hanson, Jocyln Y",,,,,,COMM,1311,012,17,4,1,,1,,,,,,,,,,,,,,2,jyh140230,jocyln hanson,Survey of Oral and Technology-based Communication 
"Templeton, Allison A",,,,,,COMM,1311,013,1,11,3,,3,2,,1,2,,,,,,,,,,1,aam141730,allison templeton,Survey of Oral and Technology-based Communication 
"Warren, Jason L",,,,,,COMM,1311,501,6,4,3,2,2,,2,1,,,,,,,,,,,2,jxw174630,jason warren,Survey of Oral and Technology-based Communication 
"Williams, Alecia N",,,,,,COMM,1311,502,7,5,1,4,2,2,,,2,1,,,,,,,,,0,axw124630,alecia williams,Survey of Oral and Technology-based Communication 
"Baynham, Karen M",,,,,,COMM,1311,0W1,3,2,6,3,,1,1,,,,,,2,,,,,,0,contemp,karen baynham,
"Templeton, Allison A",,,,,,COMM,1311,0W2,5,4,4,3,,4,1,,,,,,,,,,,,0,aam141730,allison templeton,
"Templeton, Allison A",,,,,,COMM,1311,0W3,2,5,1,1,3,2,1,,,,,1,1,,,,,,0,aam141730,allison templeton,
"Tanner, Lari J",,,,,,COMM,1311,0W4,14,4,5,,1,,,,,,,,,,,,,,0,ljt130130,lari tanner,
"Honea, Emily",,,,,,COMM,1311,0W5,5,7,4,2,2,1,1,,,,,,,,,,,,1,exh150830,emily honea,
"Templeton, Allison A",,,,,,COMM,1311,014,2,7,2,1,5,1,1,2,,1,,,2,,,,,,0,aam141730,allison templeton,Survey of Oral and Technology-based Communication 
"Stewart, Derek A",,,,,,COMM,1311,015,9,3,4,3,1,3,1,,,,,,,,,,,,0,das141230,derek stewart,Survey of Oral and Technology-based Communication 
"Juarez, Veronica",,,,,,COMM,1311,016,6,8,5,,1,,1,,,,,,,,,,,,2,vxj161430,veronica juarez,Survey of Oral and Technology-based Communication 
"Tanner, Lari J",,,,,,COMM,1311,017,18,2,2,1,,,,,,,,,,,,,,,1,ljt130130,lari tanner,Survey of Oral and Technology-based Communication 
"Vazzi, Lisa",,,,,,COMM,1311,018,16,3,2,1,,,,,1,,,,,,,,,,1,lxv160630,lisa vazzi,Survey of Oral and Technology-based Communication 
"Ryan, Christopher J",,,,,,HUSL,7383,501,,5,2,1,,,,,,,,,,,,,,,0,cxr088000,christopher ryan,Teaching First-Year Writing 
"Shi, Carle",,,,,,ARTS,3341,001,,14,,,3,,,1,,,,,,,,,,,0,cxs174230,carle shi,Chinese Calligraphy 
"Goode, Dianne H","Toombs, Kenady M",,,,,AHST,1304,002,23,21,6,6,8,3,6,5,3,2,,3,2,,,,,,2,dgoode,dianne goode,Survey of Western Art History  Renaissance to Modern 
"Goode, Dianne H",,,,,,AP,3340,001,,7,4,1,1,,,2,,1,2,,,,,,,,0,dgoode,dianne goode,Writing in the Arts 
"Waligore, Marilyn A",,,,,,ARTS,3377,001,,8,4,3,2,,,,,,,,1,,,,,,0,waligore,marilyn waligore,Photography  Altered Image 
"Loving, Emily",,,,,,ARTS,3379,501,,13,6,,,,,,,,,,,,,,,,0,exl097120,emily loving,Photography  New Media 
"Zisman, Noah I",,,,,,CRWT,4354,501,3,1,,,3,2,,,1,,,,4,,,,,,1,nxz110630,noah zisman,Creating Scripts 
"Saba, Monica",,,,,,DANC,1310,0H1,9,15,6,,1,,,,,,,,,,,,,,0,msaba,monica saba,Understanding Dance 
"Reynolds, Clay",,,,,,HUAS,6354,001,,4,3,1,,,,,,,,,1,,,,,,0,clayr,clay reynolds,Creating Short Fictions 
"Martinez, Manuel L",,,,,,HUAS,6381,501,,7,,,,,,,,,,,,,,,,,0,mlm160630,manuel martinez,Creating Fiction  Intermediate 
"Rodriguez, Robert X",,,,,,HUAS,6399,501,,2,1,2,1,,,,,,,,,,,,,,0,rxr014610,robert rodriguez,Music in Historical Context 
"Bambach, Charles",,,,,,HUHI,6395,001,,9,3,4,,,,,,,,,,,,,,,0,cbambach,charles bambach,Topics in the History of Ideas 
"Honea, Emily",,,,,,COMM,1311,0W6,7,4,6,1,,1,,1,1,,,,,,,,,,0,exh150830,emily honea,
"Gonzalez, Cristina M",,,,,,SPAN,2341,001,3,5,2,2,,,1,,,,,,,,1,,,,0,cxg042000,cristina gonzalez,Medical Spanish 
"Anjum, Zafar",,,,,,HUMA,3351,001,,29,,,1,,,,,,,,,,,,,,0,zxa110730,zafar anjum,Introduction to Islamic Culture 
"Wiesepape, Betty H",,,,,,CRWT,3307,001,,5,2,4,2,,,,,,,,,,,,,,0,bet,,Creating Short Stories 
"DeWitte, Debra J","Anderson, Linda K","Dunbar, Amanda R","K. Khiabani, Elham C","Christmann, Daniel W",,AHST,2331,001,67,117,125,73,32,22,4,6,3,,1,7,31,,,,,,8,djd011500,debra dewitte,Understanding Art 
"Lingo, Kathy A",,,,,,COMM,3320,001,2,9,2,,,,,,,,,,1,,,,,,0,klingo,kathy lingo,Readers  Theater 
"Goode, Dianne H",,,,,,AP,3340,002,,8,3,2,3,2,,1,,,,,1,,,,,,0,dgoode,dianne goode,Writing in the Arts 
"Barnes, Ashley",,,,,,ARHM,3342,001,,10,5,3,2,2,,1,,,,,1,,,,,,0,axb162631,ashley barnes,Advanced Interdisciplinary Studies in the Arts and Humanities 
"Wickberg, Daniel",,,,,,ARHM,3342,002,,4,8,9,3,2,2,3,4,,,,3,,,,,,1,wickberg,daniel wickberg,Advanced Interdisciplinary Studies in the Arts and Humanities 
"Curry, Val",,,,,,ARTS,3340,001,6,1,2,1,2,1,,,,,,,,,,,,,0,vxc110930,val curry,Topics in Studio Art 
"Krayer, Karl","Tanner, Lari J",,,,,COMM,1311,503,16,2,1,1,,,,,,,,,1,,,,,,2,kxk166030,karl krayer,Survey of Oral and Technology-based Communication 
"Williams, Alecia N",,,,,,COMM,1311,504,1,3,8,3,4,1,,,1,,1,,1,,,,,,0,axw124630,alecia williams,Survey of Oral and Technology-based Communication 
"Martinez, Manuel L",,,,,,CRWT,4307,001,4,8,1,1,,,,,,,,,1,,,,,,0,mlm160630,manuel martinez,Creating Short Stories  Advanced 
"Pfister, Debra H",,,,,,HIST,4344,501,14,14,4,5,3,1,,,,1,,,,,,,,,2,dhpf,debra pfister,Topics in European History 
"Rosen, Mark S",,,,,,HUAS,6315,001,,6,5,,1,,,,,,,,,,,,,,0,mxr088000,mark rosen,The Arts in Historical Contexts 
"King, Carie S",,,,,,COMM,4375,001,1,2,2,1,,1,,1,,,,,1,,,,,,1,cxl085200,carie king,Professional Communication in Medicine 
"Warren, Shilyh J",,,,,,HUAS,7360,001,,6,2,1,,1,,,,,,,1,,,,,,0,sjw120030,shilyh warren,Advanced Topics in Film  Television  and Digital Media 
"Wickberg, Daniel",,,,,,HUHI,7305,001,,4,1,1,,,,,,,,,,,,,,,0,wickberg,daniel wickberg,American Intellectual History 
"Prieto, Rene",,,,,,HUSL,6350,501,,7,2,2,3,,,,,,,,1,,,,,,1,rxp113230,rene prieto,Literature of the Nineteenth Century 
"Camacho-Guardado, Lorena",,,,,,SPAN,3365,001,5,3,2,,,,,1,,,,,,,,,,,0,lxc163230,amalia lorena camacho guardardo,Advanced Spanish I 
"Ming, Adron",,,,,,MUSI,3118,501,,28,,,,,,,,,,,,,,,,,1,axm167231,adron ming,String Orchestra II 
"Hustis, Gregory J",,,,,,MUSI,3120,501,,30,,,,,,1,,,,,,,,,,,1,gjh120030,,Wind Ensemble II 
"Gregory, Mona Y",,,,,,COMM,1311,0W7,3,5,2,2,2,,2,,,1,1,,2,,,,,,0,myg140030,mona gregory,
"Gregory, Mona Y",,,,,,COMM,1311,0W8,3,4,,2,1,1,1,,,1,,,1,,,,,,4,myg140030,mona gregory,
"Warren, Jason L",,,,,,COMM,1311,0W9,,5,2,3,1,,1,2,1,,,,1,,,,,,2,jxw174630,jason warren,
"Baker, Barbara L",,,,,,COMM,1311,5W1,,,1,4,2,,2,,1,,1,,3,,,,,,3,blb140430,barbara baker,
"Medrick, Mary A",,,,,,MUSI,3388,001,1,8,,1,4,,,,,,,,1,,,,,,0,mam017200,mary medrick,Piano II 
"Stone, Winston",,,,,,MUSI,4V12,001,4,9,,,,,,,,,,,,,,,,,1,wxs034000,winston stone,Advanced Performance I 
"Salisbury, Linda J",,,,,,MUSI,4V12,002,,11,,,,,,,,,,1,,,,,,,2,ljs130230,linda salisbury,Advanced Performance I 
"Cohen, Milton",,,,,,LIT,4348,001,,3,6,4,5,2,2,2,,,,,2,,,,,,2,mcohen,milton cohen,Topics in Literary Studies 
"Vincent, Shelby D",,,,,,LIT,4348,002,,7,3,1,2,,,1,,,,,1,,,,,,0,sdv034000,shelby vincent,Topics in Literary Studies 
"Krishnaswamy, Nandini",,,,,,COMM,1311,019,12,4,2,1,3,1,,1,,,,,,,,,,,0,nxk176230,,Survey of Oral and Technology-based Communication 
"Krishnaswamy, Nandini",,,,,,COMM,1311,020,5,9,3,3,,1,2,,,,,,,,,,,,1,nxk176230,,Survey of Oral and Technology-based Communication 
"Schlereth, Eric R","Goldmann, Kerry",,,,,HIST,1301,011,7,17,13,12,21,9,2,2,3,,,,4,,,,,,0,exs082000,eric schlereth,U S  History Survey to Civil War 
"Salisbury, Linda J",,,,,,MUSI,1306,005,10,37,,2,,,,,,,,,,,,,,,0,ljs130230,linda salisbury,Understanding Music 
"Waligore, Marilyn A",,,,,,HUAS,6391,501,,6,1,,,,,,,,,,,,,,,,0,waligore,marilyn waligore,Creativity  Visual Arts Workshop 
"Gerard, Lori A",,,,,,MUSI,2322,001,,13,5,9,7,3,5,3,,,1,,3,,,,,,0,lag091020,lori gerard,Music in Western Civilization 
"Moss, Daniel J",,,,,,COMM,1311,505,4,4,,4,2,3,1,2,,1,1,,2,,,,,,0,djm161130,daniel moss,Survey of Oral and Technology-based Communication 
"Skiles, Bradley W",,,,,,COMM,1311,506,10,4,2,3,2,,,,,,1,,2,,,,,,0,bws150030,bradley skiles,Survey of Oral and Technology-based Communication 
"Dennis, Patrick W",,,,,,HIST,3327,501,,6,8,5,4,7,2,2,,2,,,3,,,,,,4,pdennis,patrick dennis,Perspectives on Science 
"Petty, John E","Cochran, Tyler",,,,,FILM,2332,502,3,1,9,6,8,17,8,5,5,1,,2,5,,,,,,4,jep140330,john petty,Understanding Film 
"Kroska, Nami",,,,,,JAPN,3311,501,1,3,,2,2,,1,1,,,1,,1,,,,,,0,nxk167330,nami kroska,Advanced Japanese I 
"Norman, Susan M",,,,,,CRWT,3307,501,2,9,1,,,,,,,,,,,,,,,,0,smw011400,,Creating Short Stories 
"Wilson, Michael","Cohen, Milton","Brewer, Kenneth L","Towner, Theresa",,,HUSL,6372,001,,5,2,2,,,,,,,,,1,,,,,,0,mwilson,michael wilson,
"Kroska, Nami",,,,,,JAPN,1311,002,7,12,4,2,2,,1,2,,,,,,,,,,,0,nxk167330,nami kroska,Beginning Japanese I 
"Skiles, Bradley W",,,,,,COMM,1311,507,10,7,2,,1,,,1,,,,,2,,,,,,0,bws150030,bradley skiles,Survey of Oral and Technology-based Communication 
"Krayer, Karl","Tanner, Lari J",,,,,COMM,1311,508,15,3,,1,,,,,,,,,1,,,,,,1,kxk166030,karl krayer,Survey of Oral and Technology-based Communication 
"Moss, Daniel J",,,,,,COMM,1311,021,8,6,1,2,5,,2,,,,,,,,,,,,0,djm161130,daniel moss,Survey of Oral and Technology-based Communication 
"Ott, Lynette",,,,,,RHET,1302,038,,2,5,3,3,1,3,1,,,,,1,,,,,,0,lxo120730,lynette ott,Rhetoric 
"Balasa, Alexandra",,,,,,RHET,1302,039,,4,3,4,1,,,1,2,,1,,3,,,,,,0,axb177630,alexandra balasa,Rhetoric 
"Ott, Lynette",,,,,,RHET,1302,505,,3,8,2,5,1,,,,,,,,,,,,,0,lxo120730,lynette ott,Rhetoric 
"Boyer, Kent L",,,,,,RHET,1302,506,3,7,4,,,,,,,,,,3,,,,,,2,klb140030,kent boyer,Rhetoric 
"Vazzi, Lisa",,,,,,COMM,1311,5W2,11,3,1,1,1,,,,,,,,,,,,,,1,lxv160630,lisa vazzi,
"Totusek, Patricia F",,,,,,COMM,1311,5W3,1,6,6,2,5,1,,,,,,,,,,,,,1,pft140030,patricia totusek,
"Wilder, James E",,,,,,MUSI,1306,501,8,15,6,5,3,1,1,2,,2,,1,2,,,,,,2,jew042000,james wilder,Understanding Music 
"Maguire, Mandy","Yuan, Haiying",,,,,CLDP,3303,001,2,21,,6,19,,3,10,,,4,,3,,,,,,0,mjm053000,mandy maguire,Normal Language Development 
"Bonner, Deborah L","Schneider, Julie M",,,,,CLDP,3310,501,1,5,9,4,6,2,1,3,1,1,1,1,1,,,,,,1,dbonner,deborah bonner,Child Development 
"Huxtable-Jester, Karen J",,,,,,CLDP,3339,001,,5,2,1,2,1,2,2,1,,1,1,4,,,,,,0,kxh014900,karen huxtable jester,Educational Psychology 
"Santrock, John W",,,,,,CLDP,3339,002,,4,2,2,3,,1,,,,3,,1,,,,,,2,santrock,john santrock,Educational Psychology 
"Barfoot, John W","Peskova, Olga",,,,,CLDP,3342,501,13,14,8,8,6,6,2,1,1,,,,,,,,,,0,jwb043000,john barfoot,Exceptional Children 
"Miller, Van S","Kapolowicz, Michelle R",,,,,NSC,3361,001,22,38,30,18,24,14,36,19,35,,24,,23,,1,,,,8,vxm077000,van miller,Introduction to Neuroscience 
"Sultana, Rukhsana",,,,,,NSC,3361,002,7,6,7,8,2,2,2,1,,,1,1,1,,,,,,2,rxs170431,rukhsana sultana,Introduction to Neuroscience 
"Price, Theodore J","Shiers, Stephanie",,,,,NSC,4352,001,6,47,4,11,23,7,9,10,1,1,3,2,4,,,,,,2,tjp140130,theodore price,Cellular Neuroscience 
"Sultana, Rukhsana","Inyang, Kufreobong E",,,,,NSC,4353,101,4,1,1,3,2,2,1,,,,,,,,,,,,0,rxs170431,rukhsana sultana,Neuroscience Laboratory Methods 
"Sasson, Noah J","Withers, Zaharra G",,,,,PSY,2301,001,,38,24,13,13,11,9,2,4,5,1,1,4,,,,,,4,njs092000,noah sasson,Introduction to Psychology 
"Juhn, Nancy H","Carson, Kevin J","Pongpipat, Ekarin E",,,,PSY,2317,001,,17,11,6,5,3,4,4,3,,,2,7,,,,,,2,njuhn,nancy juhn,Statistics for Psychology 
"Juhn, Nancy H","Carson, Kevin J","Pongpipat, Ekarin E",,,,PSY,2317,002,,11,6,3,7,5,5,9,4,3,4,1,4,,,,,,2,njuhn,nancy juhn,Statistics for Psychology 
"Meltzer, Mitchell A","Turner, Monroe P",,,,,PSY,2317,501,,7,6,4,3,5,4,2,2,,,1,3,,,,,,3,mam089100,mitchell meltzer,Statistics for Psychology 
"Bonner, Deborah L","Schneider, Julie M",,,,,PSY,3310,501,,13,14,13,14,7,7,6,4,1,,,7,,,,,,3,dbonner,deborah bonner,Child Development 
"Barfoot, John W",,,,,,PSY,3333,001,11,20,10,12,8,1,1,2,1,2,,1,1,,,,,,0,jwb043000,john barfoot,Approaches to Clinical Psychology 
"Huxtable-Jester, Karen J",,,,,,PSY,3339,001,,9,1,3,6,3,2,1,,2,,1,3,,,,,,0,kxh014900,karen huxtable jester,Educational Psychology 
"Santrock, John W",,,,,,PSY,3339,002,1,6,6,1,3,1,,,2,,1,,1,,,,,,0,santrock,john santrock,Educational Psychology 
"Barfoot, John W","Peskova, Olga",,,,,PSY,3342,501,4,9,3,3,4,1,,1,,1,1,1,2,,,,,,0,jwb043000,john barfoot,Exceptional Children 
"Grohman, Magdalena G",,,,,,PSY,3355,001,1,1,,7,8,,3,3,,,,,1,,,,,,0,mgg092000,magdalena grohman,Psychology of Creativity 
"Dowling, Walter J","Brigante, Ryan M",,,,,PSY,3360,501,2,21,4,21,29,7,6,13,1,3,,1,9,,,,,,4,jdowling,walter j dowling,Historical Perspectives on Psychology  Mind and Machines since 1600 
"Grant, Meridith G","Yu, Ju-Chi",,,,,PSY,3392,001,5,17,12,9,11,4,5,4,2,,1,,1,,,,,,1,mga061000,meridith grant,Research Design and Analysis 
"Grant, Meridith G","Kriegsman, Michael A",,,,,PSY,3392,002,7,11,8,9,13,9,5,7,2,,,,1,,,,,,0,mga061000,meridith grant,Research Design and Analysis 
"Drew, Linda M","Kmiecik, Matthew J",,,,,PSY,3393,001,2,3,2,4,4,2,,1,,,1,,2,,,,,,0,lmd102020,linda drew,Experimental Projects in Psychology 
"Dowling, Walter J","Gunal, Mehmet",,,,,PSY,3393,002,1,16,,,,,,1,,,1,,,,,,,,0,jdowling,walter j dowling,Experimental Projects in Psychology 
"Shirvani, Forouz","Parsons, Julie A",,,,,PSY,3393,006,,10,,,5,,,1,,,,,,,,,,,1,fxk024000,forouz shirvani,Experimental Projects in Psychology 
"Tillman, Gail D","Agres, Phillip F",,,,,PSY,3393,501,,14,,,4,,,,,,1,,1,,,,,,0,gtillman,gail tillman,Experimental Projects in Psychology 
"Hafer, Donald G",,,,,,PSY,4328,501,23,48,28,7,12,,5,2,2,,1,,1,,,,,,1,haferd,donald hafer,Health Psychology 
"Prager, Karen","Wu, Sining",,,,,PSY,4331,001,4,9,8,8,4,7,4,1,2,1,,,5,,,,,,2,kprager,karen prager,Personality 
"Ladd, Gretchen C",,,,,,PSY,4332,001,1,51,4,,10,1,,1,,,,,2,,,,,,0,gcl140130,gretchen ladd,Psychology in the Workplace 
"Gentsch, Joanna K",,,,,,PSY,4346,001,7,53,28,18,7,3,1,2,3,,2,,1,,,,,,4,jgentsch,joanna gentsch,Human Sexuality 
"Stilwell, John Q",,,,,,PSY,4377,001,1,8,7,4,,,,,,,,,1,,,,,,0,stilwell,john stilwell,Conflict Resolution 
"Walsh, Diane G","Fazel, Vedad",,,,,SPAU,3301,001,12,23,11,18,22,7,11,10,4,3,3,,2,,,,,,3,dxg022000,diane walsh,Communication Disorders 
"Maguire, Mandy","Yuan, Haiying",,,,,SPAU,3303,001,7,37,,6,23,,9,15,,1,4,,5,,,,,,2,mjm053000,mandy maguire,Normal Language Development 
"Martin, Jeffrey S","Fowler, Stephanie L",,,,,SPAU,3341,002,,20,12,5,15,5,4,3,3,,1,,,,,,,,1,jsm016600,,Audiology 
"Katz, William","Doli, Evdoxia",,,,,SPAU,3343,001,7,40,10,9,14,9,5,11,3,1,6,2,9,,,,,,2,wkatz,william katz,Phonetics 
"Powers, Katharine A","Wiseman, Kathryn","Song, Chen",,,,SPAU,3344,001,1,6,4,2,6,4,9,6,5,2,6,3,9,,,,,,3,kap130730,katharine powers,Anatomy and Physiology of Speech and Hearing 
"Thibodeau, Linda K",,,,,,SPAU,4395,501,2,3,,1,4,,2,1,,,,,,,1,,,,1,thib,linda thibodeau,Issues in the Management of Persons with Hearing Impairment 
"Brinkley, Dawn Y","Zhao, Yuguang",,,,,PSY,3331,501,,20,14,7,13,11,3,9,4,3,2,,8,,,,,,1,dyb012000,dawn brinkley,Social Psychology 
"Pinkham, Amy E","Poucher, Jesse W",,,,,PSY,4343,001,,16,13,22,31,28,19,26,15,7,2,3,13,,,,,,8,aep140430,amy pinkham,Abnormal Psychology 
"Gentsch, Joanna K",,,,,,PSY,2301,HN1,9,11,3,1,1,,,,,,,,,,,,,,0,jgentsch,joanna gentsch,Introduction to Psychology 
"O'Toole, Alice J",,,,,,ACN,6330,001,,12,5,1,2,2,,1,,,,,,,,,,,0,otoole,alice otoole,Cognitive Science 
"Le Prell, Colleen G",,,,,,AUD,6305,001,,9,4,1,,,,,,,,,,,,,,,0,cgl150030,,Anatomy and Physiology of Audition 
"Roeser, Ross J",,,,,,AUD,6310,001,,7,2,1,4,,,,,,,,,,,,,,0,roeser,,Advanced Clinical Audiology 
"Warner-Czyz, Andrea D","Evans, Christine S",,,,,AUD,7324,001,,12,3,,,,,,,,,,,,,,,,0,adw052000,andrea warner czyz,Seminar in Cochlear Implants and Technology for Persons with Hearing Impairments 
"Lobarinas, Edward",,,,,,AUD,7327,001,,9,,2,3,,,,,,,,,,,,,,0,exl152130,,Evaluation and Fitting of Amplification Systems 
"Lougeay, Janice",,,,,,COMD,6221,001,,113,,,2,,,,,,,,,,,,,,0,lougeay,,Voice Disorders 
"Katz, William","Glotfelty, Annette R",,,,,COMD,6305,001,,,,,,,,,,,,,,,,,,25,0,wkatz,william katz,Speech Science 
"Maguire, Mandy",,,,,,COMD,6307,001,,20,,1,,,,,,,,,,,,,,,0,mjm053000,mandy maguire,Language Acquisition 
"Aldridge, Michelle A","Kenedi, Helen",,,,,COMD,6320,001,,87,,,3,,,,,,,,,,,,,,0,aldridge,michelle aldridge,Motor Speech Disorders 
"Kenedi, Helen","Sale, Felicity F",,,,,COMD,6377,001,,83,,,3,,,,,,,,,,,,,,0,kenedi,,Neurogenic Communication Disorders I 
"Dean, Lucinda L","Sale, Felicity F",,,,,COMD,6378,001,,19,,,,,,,,,,,,,,,,,0,lxl018300,,Neurogenic Communication Disorders II 
"Dean, Lucinda L",,,,,,COMD,7301,001,,28,,,,,,,,,,,,,,,,,0,lxl018300,,Public School Methods 
"Ulatowska, Hanna K",,,,,,COMD,7305,001,,7,,1,2,,,,,,,,,,,,,,0,hanna,hanna ulatowska,Communication and the Aging Brain 
"Rollins, Pamela R",,,,,,COMD,7336,001,,5,,1,,,,,,,,,,,,,,,0,rollins,pam rollins,Social Communication in Early Childhood Disorders 
"Stillman, Robert",,,,,,HCS,6302,001,,,,,,,,,,,,,,,,,,26,0,stillman,robert stillman,Issues in Behavioral and Brain Sciences - Part I 
"O'Toole, Alice J",,,,,,HCS,6330,001,,5,1,1,,,,,,,,,,,,,,,0,otoole,alice otoole,Cognitive Science 
"Holub, Shayla C",,,,,,HCS,6350,001,,4,1,1,,,,,,,,,1,,,,,,1,sch052000,shayla holub,Social Development 
"Touchstone, Emily W",,,,,,HCS,6357,001,,6,,,1,,,1,,,,,,,,,,,0,exw010200,emily touchstone,The Developing Child  Infants and Toddlers 
"Moller, Aage R",,,,,,ACN,6374,001,,21,5,11,1,,,,,,,,,,,,,,0,amoller,aage moller,Intraoperative Neurophysiological Monitoring 
"Ward, Felicia",,,,,,CLDP,4344,001,6,10,8,4,3,1,,2,,,,,,,,,,,0,few160030,felicia ward,Child Psychopathology 
"Boatman, Catherine A",,,,,,HDCD,6395,501,,7,,,,,,,,,,,,,,,,,0,cab018010,,Medical and Biobehavioral Factors in Early Childhood Disorders 
"Golden, Richard","Lundie, Michael J",,,,,PSY,3393,502,1,1,3,2,2,2,,1,,,,,4,,,,,,0,golden,richard golden,Experimental Projects in Psychology 
"Ward, Felicia",,,,,,PSY,4344,001,10,7,9,4,1,3,,1,,,,,1,,,,,,0,few160030,felicia ward,Child Psychopathology 
"Cook, Julie D",,,,,,COMD,7204,501,,36,,,,,,,,,,,,,,,,3,0,jdc151030,,Craniofacial Disorders 
"Ewing, Donna M",,,,,,HDCD,6315,001,,5,,1,,,,,,,,,,,,,,,0,dme061000,donna ewing,Assessment Theory 
"Touchstone, Emily W",,,,,,HDCD,6319,001,,8,,,2,,,1,,,,,,,,,,,0,exw010200,emily touchstone,The Developing Child  Infants and Toddlers 
"Hart, John",,,,,,COMD,7309,001,,4,,1,3,,,,,,,,,,,,,4,0,jxh057100,,Neural Correlates of Human Cognition  Lesion-Deficit Models 
"Juhn, Nancy H","Meldrum, Shelia","O'Connell, Margaret A",,,,PSYC,6312,001,,4,3,2,,1,,1,,,,,2,,,,,,0,njuhn,nancy juhn,Research Methods in Behavioral and Brain Sciences - Part I 
"Lobarinas, Edward",,,,,,AUD,6303,001,,7,3,,1,2,1,,,,,,,,,,,,0,exl152130,,Hearing Science 
"Miller, Van S","Phensy, Aarron J",,,,,NSC,4366,001,10,12,13,12,13,5,7,5,9,,10,,4,,,,,,4,vxm077000,van miller,Neuroanatomy 
"Ulatowska, Hanna K",,,,,,PSY,3350,001,,2,3,4,8,4,,,,,,,1,,,,,,1,hanna,hanna ulatowska,Psychology of Communication 
"Grant, Meridith G","Poudel, Sonali",,,,,PSY,3362,501,,4,,,3,,,2,,,,,3,,,,,,0,mga061000,meridith grant,Cognitive Development 
"Choate, Michael J",,,,,,PSY,3100,501,7,9,,,,,,,,,,,1,,,,,,0,mchoate,michael choate,Careers in Psychology 
"Grant, Meridith G","Poudel, Sonali",,,,,CLDP,3362,501,,15,,,20,,,18,,,2,,7,,,,,,0,mga061000,meridith grant,Cognitive Development 
"Touchstone, Emily W","Fowler, Mariah L",,,,,PSY,3310,001,,65,,,24,,,7,,,,,1,,,,,,2,exw010200,emily touchstone,Child Development 
"Touchstone, Emily W","Fowler, Mariah L",,,,,CLDP,3310,001,,23,,,7,,,,,,,,,,,,,,0,exw010200,emily touchstone,Child Development 
"Moller, Aage R","Nandy, Shaurabh",,,,,NSC,4373,001,150,12,,7,8,1,1,,,,,,,,,,,,1,amoller,aage moller,Sensory Neuroscience 
"Herrera, Nicolas S","Guo, Jinghui",,,,,CGS,4352,501,,2,1,1,1,,2,,1,,,1,1,,,,,,0,nsh100020,,Human Computer Interactions I 
"Orrick, Erika D",,,,,,ACN,6341,0W1,,21,5,,,,1,,,,,,,,,,,,0,edo042000,erika orrick,Human Computer Interactions I 
"Rypma, Bart P","Himes, Lyndahl M",,,,,PSY,4359,501,3,4,,,6,,,4,,,,,,,,,,,2,bpr061000,bart rypma,Cognitive Neuroscience 
"Rypma, Bart P","Himes, Lyndahl M",,,,,NSC,4359,501,10,14,,,15,,,1,,,,,,,,,,,0,bpr061000,bart rypma,Cognitive Neuroscience 
"Brinkley, Dawn Y","Wu, Sining",,,,,PSY,2301,002,,36,14,17,17,9,9,7,3,2,1,1,4,,,,,,4,dyb012000,dawn brinkley,Introduction to Psychology 
"Kroener, Sven","Childs, Jessica E",,,,,NSC,4354,001,52,26,19,7,7,11,4,9,1,2,3,2,7,,,,,,7,sxk101000,sven kroener,Integrative Neuroscience 
"O'Toole, Alice J",,,,,,CGS,2301,001,9,4,3,5,4,1,2,3,,2,2,,1,,,,,,3,otoole,alice otoole,Cognitive Science 
"Nelson Taylor, Jackie A",,,,,,PSY,4347,001,,6,8,8,5,6,1,3,2,,,,1,,,,,,1,jan110030,jackie nelson,Marriage and Family Psychology 
"Drew, Linda M",,,,,,PSY,4386,001,,3,5,1,5,,2,1,,,,,,,,,,,0,lmd102020,linda drew,Adult Development and Aging 
"Drew, Linda M",,,,,,SPAU,4386,001,1,5,5,3,5,1,,,1,,,,,,,,,,1,lmd102020,linda drew,Adult Development and Aging 
"Kennedy, Kristen M","Gonen, Chen",,,,,NSC,4385,001,,17,,,24,,,13,,,2,,2,,,,,,2,kmk082000,kristen kennedy,Neuropsychology 
"Roeser, Ross J",,,,,,AUD,6113,001,,,,,,,,,,,,,,,,,,25,0,roeser,,Grand Rounds 
"Roeser, Ross J",,,,,,AUD,7240,501,,10,,,,,,,,,,,,,,,,,0,roeser,,Auditory Processing Disorders 
"Nelson Taylor, Jackie A",,,,,,CLDP,4347,001,,5,4,3,11,2,1,,2,,1,,,,,,,,0,jan110030,jackie nelson,Marriage and Family Psychology 
"Rojas-Villarreal, Raul","Kavakci, Mariam",,,,,SPAU,4308,001,,39,,,11,,,4,,,1,,1,,,,,,0,rxr105520,raul rojas villarreal,Language Disorders in Children 
"Huxtable-Jester, Karen J","White, Kathryn A",,,,,PSY,3331,001,,34,13,5,15,10,13,13,5,3,5,1,7,,,,,,5,kxh014900,karen huxtable jester,Social Psychology 
