Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Burnett, Lora D","Dunham, Daniel C",,,,,HIST,1301,009,9,41,11,9,5,3,5,2,1,,,,3,,,,,,1,ldb082000,lora burnett,U S  History Survey to Civil War 
"Baker, Barbara L",,,,,,COMM,1311,001,,,4,3,4,3,3,2,,,,,4,,,,,,1,blb140430,barbara baker,Survey of Oral and Technology-based Communication 
"Baker, Barbara L",,,,,,COMM,1311,002,1,3,7,4,7,1,,,1,,,,,,,,,,0,blb140430,barbara baker,Survey of Oral and Technology-based Communication 
"Totusek, Patricia F",,,,,,COMM,1311,003,5,9,4,1,2,1,,,,,,,,,,,,,2,pft140030,patricia totusek,Survey of Oral and Technology-based Communication 
"Totusek, Patricia F",,,,,,COMM,1311,004,12,6,2,2,1,,,,1,,,,,,,,,,0,pft140030,patricia totusek,Survey of Oral and Technology-based Communication 
"Arnold, Bob",,,,,,COMM,1311,005,5,9,4,,2,2,,,,,,,1,,,,,,0,bxa161430,bob arnold,Survey of Oral and Technology-based Communication 
"Arnold, Bob",,,,,,COMM,1311,006,6,7,5,,2,1,,,,,,,,,,,,,1,bxa161430,bob arnold,Survey of Oral and Technology-based Communication 
"Juarez, Veronica",,,,,,COMM,1311,007,6,7,4,2,1,,1,1,1,,,,1,,,,,,0,vxj161430,veronica juarez,Survey of Oral and Technology-based Communication 
"Saenz, Michael A",,,,,,COMM,1311,008,11,10,1,1,1,,,,,,,,,,,,,,0,mas130030,michael saenz,Survey of Oral and Technology-based Communication 
"Stewart, Derek A",,,,,,COMM,1311,009,3,8,7,1,1,2,1,1,,,,,,,,,,,0,das141230,derek stewart,Survey of Oral and Technology-based Communication 
