Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CHEM,1111,114,15,6,2,2,1,,,,,,1,2,1,,,,,0,"Qin, Yanping","Heidari, Sahar",,,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1111,115,20,3,1,1,3,,1,,1,,,,,,,,,0,"Anka, Fadwa H","Johnson, Rebecca M",,,,,fha041000,fadwa anka,General Chemistry Laboratory I 
CHEM,1111,116,16,9,1,1,,,,,,1,,1,1,,,,,0,"Anka, Fadwa H","Kassees, Kara J",,,,,fha041000,fadwa anka,General Chemistry Laboratory I 
CHEM,1111,117,22,5,1,1,,,,,,,,,,,,,,1,"Abeykoon, Nimali C","Kumari, Sneha",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory I 
CHEM,1111,118,1,5,7,6,1,2,1,1,1,1,,1,2,,,,,1,"Gavva, Sandhya R","Hasna Begam, Mohammed Nazar",,,,,sgavva,sandhya gavva,General Chemistry Laboratory I 
CHEM,1111,119,10,11,1,3,2,,1,,1,,,,,,,,,1,"Qin, Yanping","Flores, Cassandra",,,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1111,120,11,6,4,,2,,1,1,1,1,,,3,,,,,0,"Qin, Yanping","Trashi, Ikeda",,,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1111,121,20,3,4,,1,1,,1,,,,,,,,,,0,"Gavva, Sandhya R","Kassees, Kara J",,,,,sgavva,sandhya gavva,General Chemistry Laboratory I 
CHEM,1111,122,19,1,2,,1,3,1,,,,,,2,,,,,1,"Gavva, Sandhya R","Polara, Himanshu S",,,,,sgavva,sandhya gavva,General Chemistry Laboratory I 
CHEM,1111,123,9,9,3,,3,,,2,1,,,,,,,,,3,"Huang, Yu","Chen, Chia Yuan",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,124,1,13,2,3,3,1,1,2,,1,,,3,,,,,0,"Huang, Yu","Yamada, Kyohei",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,125,10,5,4,,2,2,,,,3,,1,,,,,,3,"Gavva, Sandhya R","Gull, Humera",,,,,sgavva,sandhya gavva,General Chemistry Laboratory I 
CHEM,1111,126,3,3,5,,4,2,3,,2,,,1,6,,,,,1,"Jaggi, Neelam","Heidari, Sahar",,,,,nxj190013,,General Chemistry Laboratory I 
CHEM,1111,127,17,4,3,2,2,,,1,,,,,,,,,,1,"Sra, Amandeep K","Al-Kharji, Noora M",,,,,aks057000,amandeep sra,General Chemistry Laboratory I 
CHEM,1111,128,4,7,8,3,2,2,,,,,1,,1,,,,,2,"Sra, Amandeep K","Babanyinah, Godwin K",,,,,aks057000,amandeep sra,General Chemistry Laboratory I 
CHEM,1111,130,3,6,3,4,2,,1,2,2,,,1,3,,,,,2,"Gavva, Sandhya R","Montalvillo, Fernando",,,,,sgavva,sandhya gavva,General Chemistry Laboratory I 
CHEM,1111,133,16,6,1,3,2,,,,,,,,,,,,,2,"Anka, Fadwa H","Polara, Himanshu S",,,,,fha041000,fadwa anka,General Chemistry Laboratory I 
CHEM,1111,134,13,7,5,,,,,,,1,1,,3,,,,,0,"Anka, Fadwa H","Chen, Chia Yuan",,,,,fha041000,fadwa anka,General Chemistry Laboratory I 
CHEM,1111,135,16,3,2,1,1,2,2,,,,,,3,,,,,0,"Qin, Yanping","Kassees, Kara J",,,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1111,136,11,3,4,2,4,2,1,2,,,,1,,,,,,0,"Dissanayake, Dushanthi S","Hasna Begam, Mohammed Nazar",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CHEM,1111,137,15,7,2,,2,,,1,1,,,1,,,,,,1,"Dissanayake, Dushanthi S","Saleh, Mohammad S",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CHEM,1111,138,13,5,1,3,1,2,,2,,,,,2,,,,,1,"Qin, Yanping","Trashi, Ikeda",,,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1111,139,4,5,,3,3,1,,,,2,,,9,,,,,3,"Panangala, Samitha D","Umer, Arslan",,,,,sdp140230,samitha panangala,General Chemistry Laboratory I 
CHEM,1111,140,5,5,5,2,2,3,,1,2,,,2,,,,,,2,"Jaggi, Neelam","Bonnand, Evan F",,,,,nxj190013,,General Chemistry Laboratory I 
CHEM,1111,141,4,5,5,1,5,,2,,2,1,1,,2,,,,,1,"Tripathi, Kiran","Yamada, Kyohei",,,,,kxt190015,kiran tripathi,General Chemistry Laboratory I 
CHEM,1111,142,7,7,3,2,2,,2,1,1,1,,1,,,,,,3,"Tripathi, Kiran","Flores, Cassandra",,,,,kxt190015,kiran tripathi,General Chemistry Laboratory I 
CHEM,1111,143,6,5,,2,1,,2,1,,1,1,1,4,,,,,2,"Dissanayake, Dushanthi S","Gull, Humera",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
