Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
GOVT,2306,0U1,,50,13,4,6,7,1,1,1,,,,,,,"Gutierrez Mannix, Carlos Daniel","Oketch, Christine E",,,,,cxg172030,carlos gutierrez mannix,State and Local Government 
GOVT,2306,0U2,,56,16,2,3,2,1,2,,,,,3,,,"Gutierrez Mannix, Carlos Daniel","Oketch, Christine E",,,,,cxg172030,carlos gutierrez mannix,State and Local Government 
HCS,7376,5U1,,10,1,,,,,,,,,,,,,"Barfoot, John W",,,,,,jwb043000,john barfoot,Child Psychopathology 
HDCD,6370,0U1,,10,,1,,,,,,,,,,,,"Ewing, Donna M",,,,,,dme061000,donna ewing,Intervention with Young Children 
HIST,1302,0U1,33,19,8,4,2,2,2,1,,,1,1,4,,,"Varghese, Shawn","Simmons, Alyssa",,,,,sxv140730,shawn varghese,U S  History Survey from Civil War 
HIST,2301,591,,26,,8,21,3,1,8,4,1,3,,4,,,"Volanto, Keith J","Zawng, Ze",,,,,kjv062000,keith volanto,History of Texas 
HIST,3328,091,,2,4,2,4,,1,,,,,,4,,,"Dennis, Patrick W",,,,,,pdennis,patrick dennis,History and Philosophy of Science and Medicine 
HIST,3379,051,1,4,,2,3,3,,1,,,1,,1,,,"Schulze, Jeffrey",,,,,,jxs072200,jeffrey schulze,United States Relations with Latin America 
HIST,4344,0W1,6,5,7,7,2,2,1,,,,,,,,,"Pfister, Debra H",,,,,,dhpf,debra pfister,Topics in European History 
HIST,6340,591,,2,5,3,,,,,,,,,,,,"Wilson, Michael",,,,,,mwilson,michael wilson,European and World History 
HLTH,1301,0W1,2,1,4,3,1,1,,,1,,,,,,,"Baetge, Claire",,,,,,cxb170330,claire baetge,Introduction to Kinesiology 
HLTH,3300,0U1,,47,8,2,,,,3,,,,,,,,"Byrnes, Kathleen A",,,,,,kab019000,kathleen byrnes,Pre-Health Professional Development 
HMGT,3301,5U1,7,16,7,4,2,,1,,,,,,,,,"Wylie, Mary",,,,,,mxw190018,,Introduction to Healthcare Management 
HMGT,6320,CH1,,12,1,2,1,,,1,,,,,,,,"Jacob, Stephen",,,,,,,stephen jacob,
HMGT,6331,5U1,,14,1,,1,,,,,,,,,,,"Malaise, Michael",,,,,,mhm130430,michael malaise,Healthcare Economics 
HMGT,6332,5U1,,18,9,3,1,3,2,,,,,,,,,"Ramanathan, Kannan",,,,,,kxr087000,kannan ramanathan,Quality Improvement in Healthcare  Six Sigma and Beyond 
IMS,3310,0U1,2,5,23,11,2,2,1,,,,,,,,,"Bai, Xiaoou",,,,,,xxb150330,xiaoou bai,International Business 
IMS,3310,0U2,,16,,6,13,1,1,4,1,1,,1,2,,,"Henderson, Tom",,,,,,txh093000,tom henderson,International Business 
IMS,3310,5U1,1,8,1,2,25,1,,1,1,,3,,4,,,"Henderson, Tom",,,,,,txh093000,tom henderson,International Business 
IMS,6304,AW1,,11,,,4,,,,,,,,,,,"Petrik, Peter","McCracken, John",,,,,,peter petrik,
IMS,6360,0W1,,37,21,14,3,,1,2,,,,,,,,"Olsztynska, Agnieszka","Welbourne Eleazar, Miranda J",,,,,axo027000,agnieszka olsztynska,International Strategic Management 
IPEC,4305,0U1,6,13,7,4,1,,,,1,,,,,,,"Islam, Iftekhairul",,,,,,ixi102020,,Topics in Science  Technology and Institutions 
IPEC,4396,0U1,4,5,4,3,2,1,,,,,,,,,,"Saucedo De La Fuente, David",,,,,,dxs144830,,Topics in International Political Economy 
ISIS,3335,091,4,6,5,4,3,4,1,1,2,,,,1,,,"Rosa, Jonathan",,,,,,jxr172530,jonathan rosa,United States and East Asia 
ISIS,4304,051,,17,,1,3,1,2,1,,,,,,,,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak,Trials in American Culture 
ISNS,2359,0W1,38,21,7,7,7,,2,,,,,2,5,,,"Pujana, Ignacio",,,,,,pujana,ignacio pujana,Earthquakes and Volcanoes 
ISNS,2367,0W1,17,24,13,8,10,4,1,3,1,,,2,9,,,"Pujana, Ignacio",,,,,,pujana,ignacio pujana,The Oceans 
ISNS,2367,0W2,3,4,1,,2,,,,1,,,,,,,"Pujana, Ignacio",,,,,,pujana,ignacio pujana,The Oceans 
ITSS,3300,0U1,,8,10,5,6,1,1,4,3,1,1,,2,,,"Shrivastava, Prakash C",,,,,,pcs130130,prakash shrivastava,Information Technology for Business 
ITSS,3300,5U1,,43,2,3,3,2,,2,,1,,,,,,"Owens, Sean M","Kulkarni, Aniket S",,,,,smo150330,sean owens,Information Technology for Business 
ITSS,3311,5U1,15,13,8,4,4,1,,,,,,,,,,"Mishra, Sailendra P",,,,,,spm160530,,Introduction to Programming 
ITSS,3312,5U1,22,2,20,2,1,,3,6,,,,,,,,"Perez, Jerry","Kulkarni, Aniket S",,,,,jxp180019,jerry perez,Object-Oriented Programming 
ITSS,3390,5U1,1,4,10,6,,,,,,,,,,,,"Arora, Vivek",,,,,,vxa081000,vivek arora,Web Design and Development for Business Applications 
ITSS,4300,5U1,,5,4,3,6,4,4,2,1,,,,,,,"Owens, Dawn M",,,,,,dmo130130,dawn owens,Database Fundamentals 
ITSS,4330,0U1,,3,3,3,3,1,,1,,,1,,,,,"Islam, Naser",,,,,,nxi110630,naser islam,Systems Analysis and Design 
ITSS,4340,0U1,,4,3,4,5,3,,3,1,,,,1,,,"Thompson, Luell O",,,,,,lot013000,luell thompson,Enterprise Resource Planning 
ITSS,4351,5U1,,17,7,4,2,2,,1,,1,,,,,,"Shekhar, Gaurav",,,,,,gxs150130,gaurav shekhar,Foundations of Business Intelligence 
ITSS,4352,0U1,7,2,3,1,3,1,1,,1,2,,,1,,,"Bradbury, Judd D",,,,,,jdb101000,judd bradbury,Introduction to Web Analytics 
ITSS,4360,5U1,5,19,6,4,3,3,1,,,,,,,,,"Howe, Nate","Zhang, Hong",,,,,nxh141030,nate howe,Network and Information Security 
ITSS,4370,0U1,12,5,9,2,1,,,1,,,,,1,,,"Fuller, Tony F","Liu, Yihong",,,,,tff170130,tony fuller,Information Technology Infrastructure 
ITSS,4V95,5U1,16,6,,1,5,,1,,,,,,,,,"Khan, Taimur A",,,,,,txk123530,taimur khan,Seminar Series in Information Systems 
LANG,3348,051,7,2,1,1,,,,,,,1,,,,,"Camacho-Guardado, Lorena",,,,,,lxc163230,amalia lorena camacho guardardo,Topics in Language  - Spanish Culture (3 Semester Credit Hours)
LIT,1301,0U1,4,,7,2,,2,1,1,,,,,,,,"Oliver, Stephanie R",,,,,,sxo180009,stephanie oliver,Introduction to Literature 
LIT,2331,0U1,7,8,6,3,,,,1,,,,,3,,,"Shierry, Addison",,,,,,axs084500,addison shierry,Introduction to World Literature 
LIT,3317,0U1,4,3,1,7,,1,,,,,1,,2,,,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman,The Literature of Fantasy 
LIT,3319,0U1,9,1,1,1,,,,,,,,,1,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Contexts 
LIT,3337,051,,14,4,,1,,,,,,,,2,,,"Brewer, Kenneth L",,,,,,klb092000,kenneth brewer,Comparisons 
MAS,6102,0U1,,,,,,,,,,,,,1,,21,"Cirilo, Jason M","Jones, Royce E",,,,,jmc180002,jason cirilo,Professional Development 
MATH,1306,0U1,4,2,1,2,2,,,,,,,,1,,,"Duruoha, Adannah",,,,,,axd180037,adannah duruoha,College Algebra for the Non-Scientist 
MATH,1325,5U1,3,3,3,1,8,1,1,2,,,,,1,,,"Adabrah, Anani Komla","Mitra, Arnaja",,,,,aaa130530,anani adabrah,Applied Calculus I 
MATH,1325,5U2,4,1,4,1,3,1,,,,,,,1,,,"Foley, Manjula","Soliman, Marwah M",,,,,mxf091000,manjula samanmalee foley,Applied Calculus I 
MATH,1326,0U1,2,6,4,2,6,2,2,4,,,1,,2,,,"Mussa, Derege","Cao, Jianpeng",,,,,dxm146130,derege mussa,Applied Calculus II 
MATH,1326,0U2,2,5,1,3,9,6,4,3,1,,,2,1,,,"Nguyen, Mylinh T","Zhang, Yu",,,,,mln018200,mylinh nguyen,Applied Calculus II 
MATH,2312,0U1,1,2,,2,2,1,1,,,2,,1,,,,"Nguyen, Mylinh T","Malhotra, Sakshi",,,,,mln018200,mylinh nguyen,Precalculus 
MATH,2413,0U1,4,5,8,5,8,,1,,,,,,4,,,"Aman, Kelly","Alvarado, Iris",,,,,kxa143530,kelly aman,Differential Calculus 
MATH,2413,0U2,2,6,6,2,5,2,,,,,1,2,4,,,"Alvarado, Iris","Aman, Kelly",,,,,ila180000,iris alvarado,Differential Calculus 
MATH,2414,0U1,6,3,7,8,5,2,1,2,2,,,1,1,,,"Ahsan, Mohammad K","Abugri, Clement","Ko, Eunmi","Rajapaksha, Lashika N",,,mka120030,mohammad ahsan,Integral Calculus 
MATH,2414,0U2,5,4,1,4,9,3,2,4,2,1,1,,2,,,"Ahsan, Mohammad K","Abugri, Clement","Ko, Eunmi","Rajapaksha, Lashika N",,,mka120030,mohammad ahsan,Integral Calculus 
MATH,2415,0U1,9,10,9,1,5,1,,4,1,,,,4,,,"Li, Changsong",,,,,,cxl109120,changsong li,Calculus of Several Variables 
MATH,2415,0U2,3,10,7,6,2,5,,1,3,,,,1,,,"Akbar, Mohammad M",,,,,,mma110020,mohammad akbar,Calculus of Several Variables 
MATH,2417,0U1,3,3,2,2,,4,1,2,3,,1,,2,,,"Martynova, Irina","Rawat, Richa",,,,,ixm140930,irina martynova,Calculus I 
MATH,2418,0U1,6,5,11,4,6,3,2,1,2,1,2,,2,,,"Patel, Jigarkumar S",,,,,,jsp061000,jigarkumar patel,Linear Algebra 
MATH,2418,0U2,3,8,8,1,3,1,3,4,,,1,,3,,,"Dahal, Rabin",,,,,,rxd153030,rabin dahal,Linear Algebra 
MATH,2419,0U1,4,3,1,,4,1,2,,2,3,,,2,,,"Patel, Jigarkumar S","Brewer, Charlie P",,,,,jsp061000,jigarkumar patel,Calculus II 
MATH,2420,0U1,5,6,5,9,3,5,8,4,6,,2,,1,,,"Paudel, Ajaya B","Hart, Russell A","K. C. Khatri, Rajendra",,,,abp062000,ajaya paudel,Differential Equations with Applications 
MATH,2451,0U1,5,2,2,5,7,5,3,6,3,,,,1,,,"Eydelzon, Anatoly","Albelo-Cortes, Josean","Acharya, Subas",,,,axe031000,anatoly eydelzon,Multivariable Calculus with Applications 
MATH,3310,0U1,3,3,2,1,3,1,,,,,,,,,,"Ramakrishna, Viswanath","Helal, Md Abu",,,,,vish,viswanath ramakrishna,Theoretical Concepts of Calculus 
MATH,4301,0U1,1,2,4,2,2,3,,,1,,2,,1,,,"Dabkowski, Mieczyslaw K","Wu, Che-Yu","Rakotomalala, Diarisoa Mihaja Andriamanisa",,,,mkd034000,mieczyslaw dabkowski,Mathematical Analysis I 
MECH,2310,0U1,1,7,3,1,3,1,,,,,,,2,,,"Thamban, P.L.Stephan",,,,,,stephan,p l stephan thamban,Statics 
MECH,2330,0U1,,5,1,2,1,2,3,1,1,,1,,,,,"Thamban, P.L.Stephan",,,,,,stephan,p l stephan thamban,Dynamics 
MECH,3105,0U1,8,5,5,5,4,,1,1,1,,,,,,,"Rios, Oziel","Sadeh, Sepehr",,,,,oxr106020,oziel rios,Computer Aided Design Laboratory 
MECH,3150,0U1,4,11,3,3,1,,,1,,,1,,,,,"Park, Wooram","Gleason, Glenn H",,,,,wxp103020,wooram park,Kinematics and Dynamics Laboratory 
MECH,3305,0W1,6,6,4,2,2,5,1,1,1,,,,,,,"Rios, Oziel","Sadeh, Sepehr",,,,,oxr106020,oziel rios,Computer Aided Design 
MECH,3310,0U1,2,2,1,1,1,,2,,1,,,,1,,,"Hassanipour, Fatemeh",,,,,,fxh091000,fatemeh hassanipour,Thermodynamics 
MECH,3320,0U1,2,11,4,10,7,7,5,4,4,1,2,,1,,,"Fadda, Dani Z","Mueller, Matthew W",,,,,dzf091000,dani fadda,Heat Transfer 
MECH,3350,0U1,,2,2,3,1,1,,,,,,,1,,,"Park, Wooram",,,,,,wxp103020,wooram park,Kinematics and Dynamics of Mechanical Systems 
MECH,3360,0U1,4,3,4,4,5,3,,,,,,,,,,"Ryu, III",,,,,,ixr161130,,Introduction to Materials Science 
MECH,4340,0U1,,7,8,7,12,4,5,2,2,,,,,,,"Park, Wooram","Gleason, Glenn H",,,,,wxp103020,wooram park,Mechanical Vibrations 
MECH,4381,0U1,,10,9,6,11,6,2,2,1,,,,,,,"Hart, Robert A","Subramanian, Divya",,,,,rxh124630,robert hart,Senior Design Project I 
MECH,4381,0U2,,6,11,9,9,5,1,2,,,,,,,,"Hart, Robert A","Subramanian, Divya",,,,,rxh124630,robert hart,Senior Design Project I 
MECO,6303,0W1,,10,2,9,8,,,,,,,,,,,"Lewin, Peter","Lee, Pil-Seng",,,,,plewin,peter lewin,Business Economics 
MECO,6303,5U1,,6,5,4,,2,,,,,,,,,,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,Business Economics 
MECO,6303,AW1,,23,2,1,,1,,,,,,,1,,,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,
MIS,6204,CH1,,12,4,4,4,,,,,,,,,,,"Rhoades, Mike",,,,,,,mike rhoades,
MIS,6308,0W1,,11,10,9,8,3,3,,,,,,,,,"Raghunathan, Srinivasan",,,,,,sraghu,srinivasan raghunathan,System Analysis and Project Management 
MIS,6309,5U1,,8,4,4,1,1,,,,,,,,,,"Islam, Naser",,,,,,nxi110630,naser islam,Business Data Warehousing 
MIS,6313,5U1,,40,5,1,1,2,,,,,,,,,,"Fuller, Tony F","Liu, Yihong",,,,,tff170130,tony fuller,Managing IT in the Analytics Age 
MIS,6313,GW1,,15,7,8,4,,,1,,,,,,,,"Wiant, Russell B",,,,,,,russell wiant,
MIS,6320,0W1,,6,2,1,2,,1,,,,,,,,,"Cavusoglu, Huseyin","Liu, Yihong",,,,,huseyin,huseyin cavusoglu,Database Foundations 
MIS,6326,0W1,,10,9,6,5,1,,,,,,,,,,"Ryu, Young","Liu, Yihong",,,,,ryoung,young ryu,Data Management 
MIS,6330,5U1,,12,6,6,,,,,,,,,,,,"Lahiri, Atanu","Zhang, Hong",,,,,axl144730,atanu lahiri,Cybersecurity Fundamentals 
MIS,6341,0W1,,11,4,5,4,,,,,,,,,,,"Sohaee, Nassim",,,,,,nxs045000,nassim sohaee,Applied Machine Learning 
MIS,6344,0U1,,4,4,3,1,1,2,,,,,,,,,"Singh, Harpreet","Zhang, Chenglong",,,,,hxs104000,harpreet singh,Web Analytics 
MIS,6346,5U1,,21,3,,,,,,,,,,,,,"Perez, Jerry","Kulkarni, Aniket S",,,,,jxp180019,jerry perez,Big Data 
MIS,6346,5U2,,12,,,,,,,,,,,,,,"Elkhodari, Gasan",,,,,,gxe051000,gasan elkhodari,Big Data 
MIS,6356,5U2,,5,7,3,1,,1,,,,,,,,,"Chatterjee, Sourav",,,,,,sxc180075,sourav chatterjee,Business Analytics With R 
MIS,6360,0W1,,16,6,3,2,3,,,,,,,,,,"Thouin, Mark",,,,,,mxt083000,mark thouin,Agile Project Management 
MIS,6380,0W1,,17,6,1,2,,1,2,,,,,,,,"Bradbury, Judd D",,,,,,jdb101000,judd bradbury,Data Visualization 
MIS,6382,5U1,,23,13,2,1,2,,,,,,,,,,"Neouchi, Rabih",,,,,,rxn200012,rabih neouchi,Object Oriented Programming in Python 
MKT,3300,0U1,4,8,5,7,3,3,2,1,,,,1,1,,,"Kasaian, Keyvan",,,,,,kxk153830,,Principles of Marketing 
MKT,3300,0U2,2,7,4,4,1,1,1,1,,1,,,1,,,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour,Principles of Marketing 
MKT,3300,0W1,4,19,6,6,13,,,,,,,,,,,"Pahwa, Parneet","Elmi, Omid",,,,,pxp030100,parneet pahwa,Principles of Marketing 
MKT,3300,5U1,3,14,4,2,1,,,,,,,,,,,"Bigham, Ernest P",,,,,,epb180001,ernest bigham,Principles of Marketing 
MKT,3330,0U1,11,14,2,,2,1,1,,,,,,,,,"Gafford, Jerome M",,,,,,jmg171130,jerome gafford,Introduction to Professional Selling 
MKT,3340,5U1,5,7,6,4,3,2,1,1,,,,,1,,,"Kamatham, Sriharsha",,,,,,sxk152031,sriharsha kamatham,Marketing Research 
MKT,4330,0W1,5,6,5,9,5,5,1,1,,,,,1,,,"Edsel, Alexander D",,,,,,ade012000,alexander edsel,Digital and Internet Marketing 
MKT,4334,5U1,,16,7,2,9,4,,1,,,,,1,,,"Pacyna, Sandra",,,,,,sxp158130,sandra pacyna,Social Media Marketing 
MKT,4335,0U1,4,2,2,,1,,,1,,,,,,,,"Gafford, Jerome M",,,,,,jmg171130,jerome gafford,Category Buying 
MKT,4380,0W1,,3,1,1,4,3,1,,,,,,1,,,"Wu, Fang","Herd, Harrison L",,,,,fxw052000,fang wu,Capstone Course in Marketing 
MKT,6301,0W1,,17,5,6,15,4,,,,,,,,,,"Pahwa, Parneet","Elmi, Omid",,,,,pxp030100,parneet pahwa,Marketing Management 
MKT,6301,0W2,,13,5,2,10,,,,,,,,,,,"Pahwa, Parneet","Elmi, Omid",,,,,pxp030100,parneet pahwa,Marketing Management 
MKT,6301,MBP,,13,8,10,6,2,,,,,,,,,,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,
MKT,6301,XU1,,21,6,4,,2,,,,,,,,,,"Albrecht, Maria","Raines, Marie H",,,,,mxa180037,maria albrecht,
MKT,6309,0W1,,10,5,5,5,,,,,,,,,,,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,Marketing Data Analysis and Research 
MKT,6332,0W1,,10,9,8,3,1,1,,,,,,,,,"Biswas, Abhijit","Shetty, Reema R",,,,,axb019100,abhijit biswas,Advertising and Promotional Strategy 
MKT,6339,0W1,,3,8,6,7,1,,,,,,,,,,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,Capstone Marketing Decision Making 
MKT,6352,0W1,,8,2,8,8,2,1,2,,,,,2,,,"Tirone, Guido",,,,,,gxt170001,guido tirone,Marketing Web Analytics and Insights 
MTHE,5326,0W1,,9,2,,,,,,,,,,,,,"Sutton, Julie","Stuart, Georgia K",,,,,jxs158030,julie sutton,Problems Using Statistics and Probability  (3 Semester Credit Hours)
NSC,3361,0U1,9,20,24,7,7,6,3,1,2,,,1,,,,"McWilliams, Steven P","Szabo-Pardi, Thomas A",,,,,sxm127330,steven mcwilliams,Introduction to Neuroscience 
NSC,3361,0U2,15,6,7,4,3,3,3,4,4,,4,,3,,,"Taylor, Anna M","Lenert, Melissa E","Hong, Veronica M",,,,amt180004,anna taylor,Introduction to Neuroscience 
NSC,4350,0U1,1,2,3,1,2,2,1,1,1,,,,,,,"Miller, Van S",,,,,,vxm077000,van miller,Medical Neuropathology 
NSC,4351,0U1,9,5,2,1,5,2,2,1,1,,,,1,,,"Shareef, Safiullah M",,,,,,sms170009,safiullah shareef,Medical Neuroscience 
NSC,4352,0U1,2,8,8,4,2,4,2,2,,,,,,,,"Raboune, Siham","Calderon, Debora",,,,,sxr180071,siham raboune,Cellular Neuroscience 
NSC,4353,1U1,1,6,1,1,,1,,1,,,,,1,,,"McWilliams, Steven P","Brougher, Jackson J",,,,,sxm127330,steven mcwilliams,Neuroscience Laboratory Methods 
NSC,4353,1U2,2,1,2,3,2,1,,,,,,,,,,"Taylor, Anna M","Mei, Hao-Ruei",,,,,amt180004,anna taylor,Neuroscience Laboratory Methods 
NSC,4353,1U3,1,4,3,1,,3,,,,1,1,,,,,"Raboune, Siham","dos Santos, Natalia Lucia",,,,,sxr180071,siham raboune,Neuroscience Laboratory Methods 
NSC,4354,0U1,2,9,8,4,2,4,2,2,2,2,,1,,,,"Sultana, Rukhsana","Tseng, Ching-Tzu",,,,,rxs170431,rukhsana sultana,Integrative Neuroscience 
NSC,4356,0U1,,7,,,10,,,3,,,2,,,,,"Sultana, Rukhsana","Garner, Katherine M",,,,,rxs170431,rukhsana sultana,Neurophysiology 
NSC,4363,0U1,,20,,,9,,,,,,,,,,,"Raboune, Siham","Naik, Dhananjay K",,,,,sxr180071,siham raboune,Neuropharmacology 
NSC,4366,0U1,6,4,1,6,2,3,,2,1,,4,,2,,,"Taylor, Anna M","Lehtonen, Derek","Newel, Jacqueline P",,,,amt180004,anna taylor,Neuroanatomy 
OB,6249,CW1,,20,,,1,,,,,,,,,,,"Hicks, Robert",,,,,,,robert hicks,
OB,6301,0W1,,46,,,1,,,,,,,,,,,"Hasenhuttl, Maria","Kathuria, Nishant",,,,,h1562,maria hasenhuttl,Organizational Behavior 
OB,6301,5U1,1,19,10,4,3,4,1,1,,,,,,,,"Olsztynska, Agnieszka","Welbourne Eleazar, Miranda J",,,,,axo027000,agnieszka olsztynska,Organizational Behavior 
OB,6301,CH1,,27,3,,,,,,,,,,,,,"Ferrante, Anne M",,,,,,,anne ferrante,
OB,6307,0W1,,35,1,,4,,,,,,,,,,,"Richard, Orlando","Boncoeur, Olivier D",,,,,pretty,orlando richard,Strategic Human Resource Management 
OB,6331,CW1,,23,,1,,,,,,,,,,,,"Hasenhuttl, Maria",,,,,,h1562,maria hasenhuttl,
OB,6344,CW1,,30,5,2,3,,,,,,,,,,,"Norton, Larry",,,,,,,larry norton,
OB,6348,CW1,,26,1,,,,,,,,,,,,,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan,
OB,6351,CW1,,12,7,1,,1,,,,,,,,,,"Norton, Larry",,,,,,,larry norton,
OB,6352,CW1,,15,7,,1,,,,,,,,,,,"Hicks, Robert",,,,,,,robert hicks,
OB,6382,CW1,,28,,,,,,,,,,,,,,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan,
OBHR,3310,0U1,13,10,10,7,4,1,2,1,,,,,,,,"Ritchey, David B",,,,,,davidr,david ritchey,Organizational Behavior 
OBHR,3330,0U1,17,18,7,4,4,2,1,,5,,1,,1,,,"Ritchey, David B",,,,,,davidr,david ritchey,Introduction to Human Resource Management 
OBHR,4300,0U1,6,11,5,14,,,,,,,1,,,,,"Edgington, Kyle D",,,,,,kde081000,kyle edgington,Management of Non-Profit Organizations 
OBHR,4352,5U1,1,9,4,3,8,5,2,1,,1,,1,,,,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey,Negotiation and Dispute Resolution 
OPRE,3310,0U1,,12,,13,20,,,4,,,1,,,,,"Subramoniam, Ramesh","Gokcinar, Abdullah H",,,,,rxs179630,ramesh subramoniam,Operations Management 
OPRE,3310,0U2,,17,,6,19,,2,1,,,,,1,,,"Subramoniam, Ramesh","Gokcinar, Abdullah H",,,,,rxs179630,ramesh subramoniam,Operations Management 
OPRE,3310,5U1,,32,,8,10,2,,4,,,,,2,,,"Mobini Dehkordi, Zahra",,,,,,zxm160730,,Operations Management 
OPRE,3320,5U1,,5,,5,4,,,,,,,,,,,"Mozik, Vince C",,,,,,vcm170130,vince mozik,Supply Chain Management 
OPRE,3330,5U1,,6,4,2,1,1,,2,,,2,,,,,"Janke, Scott M",,,,,,smj160830,scott janke,Project Management 
OPRE,3333,0U1,7,14,6,9,6,8,4,7,6,,,,1,,,"Enayaty Ahangar, Negin","Rasulov, Toghrul",,,,,nxe180001,negin enayaty ahangar,Quantitative Business Analysis 
OPRE,3333,5U1,8,5,8,2,4,,1,2,,,1,,1,,,"Woldu, Malgorzata",,,,,,mxw180018,malgorzata woldu,Quantitative Business Analysis 
OPRE,3360,0U1,14,7,6,10,9,2,2,,1,,,3,2,,,"Farajbakhsh Mamaghani, Fariba",,,,,,fxf150430,fariba mamaghani,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,0W1,5,8,7,5,12,4,2,,2,,1,,2,,,"Brussolo, Monica E","Rasulov, Toghrul",,,,,meb049000,monica brussolo,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,5U1,3,3,2,3,2,2,2,2,,,1,,1,,,"Sul, Inki",,,,,,ixs161130,inki sul,Managerial Methods in Decision Making Under Uncertainty 
OPRE,4330,5U1,6,6,,,,,,,,,,,,,,"Widdifield, David S",,,,,,dsw180001,david widdifield,Logistics and Inventory Management 
OPRE,6301,0W1,,5,8,10,9,7,1,2,,,,,4,,,"Leach, Sonia E","Celik, Beyza",,,,,sel120030,sonia leach,Statistics and Data Analysis 
OPRE,6301,5U1,,8,7,2,7,6,3,1,,,,,,,,"Ahadi, Khatereh","Vu, Duc D",,,,,kxa180010,khatereh ahadi,Statistics and Data Analysis 
OPRE,6301,5U3,,6,2,5,4,1,1,1,,,,,,,,"Ahadi, Khatereh","Vu, Duc D",,,,,kxa180010,khatereh ahadi,Statistics and Data Analysis 
OPRE,6301,CH1,,6,4,1,,2,,1,,,,,,,,"Kim, Dohyeong",,,,,,dxk132530,dohyeong kim,
OPRE,6302,0W1,,15,14,10,4,1,,,,,,,,,,"Dawande, Milind","Vu, Duc D",,,,,milind,milind dawande,Operations Management 
OPRE,6302,5U1,,3,4,5,2,2,3,,,,,,,,,"Leach, Sonia E","Celik, Beyza",,,,,sel120030,sonia leach,Operations Management 
OPRE,6302,MBP,,21,9,4,5,,,,,,,,,,,"Subramoniam, Ramesh","Gokcinar, Abdullah H",,,,,rxs179630,ramesh subramoniam,
OPRE,6302,PU1,,24,,1,1,,,,,,,,,,,"Widdifield, David S",,,,,,dsw180001,david widdifield,
OPRE,6332,5U1,,40,10,3,2,2,2,,,,,,,,,"Ramanathan, Kannan","Zhang, Minmin",,,,,kxr087000,kannan ramanathan,Spreadsheet Modeling and Analytics 
OPRE,6362,5U1,,11,7,1,1,1,1,,,,,,,,,"Janke, Scott M",,,,,,smj160830,scott janke,Project Management in Engineering and Operations 
PA,4355,0U1,9,10,6,1,1,,,,,,,,,,,"Noor, Muhammad Zeeshan",,,,,,mzn170030,muhammad zeeshan noor,Managing Nonprofit Organizations 
PA,6335,5U1,,32,,,5,,,,,,,,,,,"Miori, Holly H",,,,,,hhm130030,,Resource Development for Nonprofit Organizations 
PA,6344,0W1,,42,,,,,,,,,,,,,,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides,Local Government Management 
PA,8330,HN1,,19,1,1,,,,1,,,,,,,,"Shute, William H","Chin, Michelle L",,,,,whs170030,,Inside Washington  Policymaking from the Ground Up 
PHIL,1301,091,,2,3,1,6,6,3,6,3,2,,,5,,,"Hasler, Carl","Suller, Cristian Carlo L",,,,,cxh165030,carl hasler,Introduction to Philosophy 
PHIL,3328,091,,2,4,1,5,4,,1,,,,,1,,,"Dennis, Patrick W",,,,,,pdennis,patrick dennis,History and Philosophy of Science and Medicine 
PHYS,1301,0U1,8,17,15,15,4,,1,,,,1,1,2,,,"Khan, Amena","Schussler, Joshua A","Ali, Saif",,,,axk140130,amena khan,College Physics I 
PHYS,1302,1U1,25,9,2,1,2,,1,,,,,,1,,,"Malko, Anton V","Marder, Andrew A","Mahmud, Mohammad M",,,,avm074000,anton malko,College Physics II 
PHYS,2125,1U1,2,19,4,,,,,,,,,,2,,,"Sun, Kuei","Panthi, Hari P","Iqbal, Mazhar","Dhale, Nikhil Uday","Sharon Felix, .",,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2125,1U2,4,15,3,3,,1,,,,,,,,,,"Sun, Kuei","Panthi, Hari P","Iqbal, Mazhar","Dhale, Nikhil Uday","Sharon Felix, .",,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2125,1U3,6,13,,4,2,,,,,,,,1,,,"Sun, Kuei","Sharon Felix, .","Dhale, Nikhil Uday","Iqbal, Mazhar","Panthi, Hari P",,kxs147030,kuei sun,Physics Laboratory I 
